mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
7,7.3497556301025355,-146.76693333447827,146.95084766080601,-87.133151992018227,65.550330236527842,-0.26503492872959561,-0.26503492872959666,-5.6920342941190878,-37.547051075801832,4.9784583504080739,-7.298197194144965,0,10,4.3036606388304923,-7.9729949057225467,0.021305877352983754
7.25,8.2956082528104869,-133.80014734226458,134.05706451021447,-86.452203302099107,49.334270303271964,-0.35217221065321214,-0.35217221065321236,-6.1933858885664783,-40.854176955753005,4.9938812830313175,-6.0913072541371704,0,10,4.3079763899915964,-6.7772121471768916,0.024923235435821138
7.5,9.3697505197746356,-121.23197923111185,121.59352373007188,-85.580522200285458,36.86817034601119,-0.47130196848222339,-0.4713019684822225,-6.7643091005559777,-44.620226472193615,5.0098986357664499,-4.8684720381118227,0,10,4.3122553834853061,-5.5661152903929665,0.029044794413001292
7.75,10.594078728821378,-108.99490375303179,109.508554680651,-84.448407929144722,27.32231218819858,-0.63609339854385494,-0.63609339854385605,-7.4204061863812685,-48.948118666662452,5.0265205889297153,-3.6302791158904615,0,10,4.3164674841078927,-4.3403322207122841,0.033732802680699892
8,11.995156462883594,-97.027426912440248,97.766074646668685,-82.952484500655316,20.055261686056927,-0.86691452230721988,-0.86691452230721944,-8.1811334726566152,-53.966195648743785,5.0437591499694303,-2.3805704740572606,0,10,4.3205787284952279,-3.103750895531463,0.03905781332566835
8.25,13.605383118592288,-85.273311969363462,86.351862655232068,-80.934847204081478,14.567685398831236,-1.194365634341547,-1.1943656343415474,-9.0703795795039941,-59.832036799288673,5.0616285522252653,-1.1283469256519094,0,10,4.3245506749717189,-1.8654248029054559,0.045100121906696829
8.5,15.46448779759171,-73.681197532853048,75.286580827642666,-78.146599023847457,10.468118521464367,-1.6645697380741407,-1.6645697380741411,-10.116661730043228,-66.733753710338348,5.0801457803394987,0.10958855153355263,0,10,4.328339636677117,-0.64221759212882912,0.05195152052201378
8.75,17.621440451357195,-62.204698434184138,64.652452937754177,-74.18355507598784,7.447328224691713,-2.3467917820312474,-2.3467917820312474,-11.352654395907852,-74.886880932794341,5.0993311494491378,1.3055486268568295,0,10,4.3318956655507357,0.53811314295842738,0.059717450539462272
9,20.136889043888544,-50.803159706111728,54.648470577780792,-68.378071306833164,5.259008933727447,-3.3439404077056558,-3.3439404077056558,-12.814591776184853,-84.530434476313474,5.1192091201917815,2.4187366903945575,0,10,4.3351613750957885,1.6346889452985645,0.068519665819048434
9.25,23.086244549259654,-39.443358682203758,45.702879904019177,-59.659510861770009,3.7054402520335548,-4.8072463204897611,-4.8072463204897629,-14.546116787722504,-95.952301367453515,5.1398092808820621,3.396802077909141,0,10,4.3380704238911854,2.5950632209182642,0.078499551500641404
