mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
10,13.878416997147998,4.5421380604740351,14.602790024756683,18.122272970662621,3.634905466717981,-4.9055168441479715,-4.9055168441479715,25.584434441969957,168.76568500837138,4.0760440917182663,2.3807575966179675,25,180,3.8296966031371635,2.1344101080368647,7.7146197324262892e-15
10.5,15.767354351772694,10.699094269342048,19.054660360096506,34.159241954335528,3.3314896321408098,-5.3800758133985385,-5.3800758133985376,23.255623098544259,153.4038663791595,4.0344102540519469,2.5486492436377564,25,0,3.7787834854458833,2.2930224750316928,1.9286549331065739e-15
11,17.867518678095017,16.644700856219146,24.419137787913328,42.970776584228908,3.1481932912424617,-5.7157125765642602,-5.7157125765642602,21.047138207335735,138.83577161275642,3.9895843432546672,2.6336184518773944,25,270,3.7259284254454164,2.3699625340681436,2.7001169063491955e-14
11.5,20.200244508830593,22.400775775717893,30.163630974578144,47.956952598251945,3.0479539884281408,-5.918307446371025,-5.9183074463710241,19.005710280385696,125.36965481160604,3.9421291097952169,2.6581017416845905,25,90,3.6717493349153481,2.3877219668047216,1.4464911998299284e-14
12,22.788471478771697,27.980470589778655,36.08630164985405,50.839180638270456,3.0040894515064629,-6.0117333786159985,-6.0117333786160003,17.156978116386181,113.17464027016429,3.8925363235825299,2.6401894187387898,25,180,3.616793777220221,2.3644468723764813,5.7859647993197193e-15
12.5,25.656565059347329,33.388617997407842,42.107708824173145,52.460514256584695,2.9973380750862106,-6.02638598578383,-6.0263859857838291,15.505806606790433,102.28281885760634,3.8412445673562399,2.5937841803215198,25,180,3.5615560318300528,2.3140956447953327,1.2536257065192713e-14
13,28.829993897083092,38.621732845507829,48.195505974059721,53.259736846650469,3.0138898784375003,-5.9905946838578306,-5.9905946838578306,14.04198547048701,92.626839267425581,3.7886525697835798,2.5292172153048371,25,0,3.5064897599621938,2.2470544054834507,1.7357894397959133e-14
13.5,32.334812519005368,43.66773437793649,54.336094139542666,53.481022251143521,3.043950725539931,-5.9267086667358218,-5.9267086667358218,12.74707781087603,84.085083978970303,3.7351293741680975,2.4539883630809802,25,270,3.4520175682193575,2.1708765571322401,1.3500584531745998e-14
14,36.196886706576656,48.505450362551848,60.522667837123038,53.268091802601575,3.0806552843571788,-5.8505955052489202,-5.8505955052489202,11.599771899492787,76.516971872059173,3.6810221279467976,2.3734549086497987,25,270,3.3985381911123635,2.0909709718153646,3.182280639625836e-14
14.5,40.440787265433656,53.103978391742274,66.749455396120581,52.709288511812808,3.1192489770084642,-5.7727212066221263,-5.772721206622129,10.579128720002782,69.784380392405978,3.6266622866429237,2.2914017627652941,25,180,3.3464321402704655,2.0111716163928364,6.7502922658730046e-15
