mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
10,19.181417100110135,24.846131527507115,31.388803956993655,52.33156529459567,3.3340585014443214,-5.3756606409585714,-5.3756606409585705,18.399153251243447,121.36854965714117,7.4455170192252185,5.9579537088261603,0,90,6.7606968136696945,5.2731335032706363,1.2536257065192713e-14
10.5,22.133122648270959,31.463196925034037,38.468271067294879,54.875119727399451,3.2925281948691079,-5.4479694171820991,-5.4479694171821009,16.367248674712485,107.96525287887209,7.4719567217859097,6.0135885325590692,0,150,6.7704094154212866,5.3120412261944461,2.0733040530895176e-13
11,25.475976329462029,37.917032479532722,45.680704044412991,56.103343977280602,3.2975716183241235,-5.4390813013422799,-5.4390813013422799,14.58675186353674,96.220347410085864,7.5002371058936026,6.0383169273382338,0,150,6.7807910841370429,5.3188709055816741,3.5680116262471476e-14
11.5,29.259893368714373,44.207893405477968,53.013952873735398,56.500606499975596,3.3295260971777956,-5.3834556334942398,-5.3834556334942398,13.034739453063974,85.982621100793168,7.5303975006503965,6.0460144109400629,0,150,6.7918362400658614,5.3074531503555278,9.1611109322561308e-14
12,33.539395172558692,50.320889109740826,60.473820032604905,56.316132036201324,3.3752811198825046,-5.3058189148259727,-5.3058189148259753,11.680646256531361,77.050453129820994,7.5624777405479771,6.0460579055389712,0,90,6.8035384225780051,5.2871185875689992,1.8225789117856742e-13
12.5,38.372791650734463,56.224025765377874,68.070641339248098,55.686537136704622,3.4261878852729293,-5.2221083065564953,-5.2221083065564944,10.493425219870414,69.21904407667617,7.5965146654794422,6.0446294268682088,0,330,6.8158866712612021,5.2640014326499687,1.4464911998299284e-14
13,43.820496316501064,61.865412429001644,75.812697831134813,54.689303047686849,3.4766137892077995,-5.141826829545904,-5.1418268295459013,9.445002381383178,62.30320628799862,7.6325439139602134,6.0457157484678357,0,90,6.8288671583433578,5.2420389928509801,8.6789471989794976e-14
13.5,49.942140460181399,67.169897950087801,83.701927005115579,53.368471543178089,3.5229578512049029,-5.0702509085446357,-5.070250908544633,8.5114020511658044,56.144786034052785,7.670599174904309,6.0518227484218041,0,90,6.8424622212980104,5.2236857948155055,1.5525672211507646e-13
14,56.791976562075497,72.035346398517603,91.730146258368933,51.748092655662091,3.5629849347302782,-5.0100596299158582,-5.0100596299158582,7.6727212136496279,50.61249465712784,7.7107119237017985,6.0644709994366259,0,30,6.8566498224526704,5.2104088981874987,8.3896489590135164e-14
14.5,64.412006550581012,76.329069844061621,99.875089442421668,49.839899126723274,3.5953768782343642,-4.9624140697509276,-4.9624140697509267,6.9126434340601755,45.598702094192497,7.7529112444614059,6.0845326743817409,0,270,6.8714030293488371,5.203024459269173,8.1003507190475352e-14
15,72.822275431003774,79.885297849749023,108.09599720383771,47.64815402024351,3.6194291846581379,-4.9276330372939441,-4.9276330372939441,6.2178365294224243,41.015463661632978,7.7972235500755342,6.1124580264719572,0,210,6.8866893259904716,5.2019238023868937,7.4253214924602462e-14
15.5,82.00796520490519,82.505075650978839,116.32881786222484,45.17313061187312,3.6348452941173264,-4.9056024384674828,-4.9056024384674819,5.5773810604662994,36.790750147605593,7.8436723898078853,6.1484267657378489,0,90,6.9024699331922594,5.207224309122223,4.8216373327664331e-15
16,91.903454697404612,83.960559391431715,124.48140631692765,42.413994478836862,3.6415962475394701,-4.8960184273014971,-4.8960184273014971,4.9822799733820933,32.86521320291402,7.8922781432957025,6.1924487780681829,0,90,6.9186989367162894,5.2188695714887698,8.8718126922901508e-14
16.5,102.37453886587406,84.006149190647363,132.42952582351739,39.371500519069919,3.6398245217202629,-4.8985299413297758,-4.8985299413297758,4.4250568275077278,29.189535081933595,7.9430577151569617,6.244430977067319,0,30,6.9353223264793398,5.2366955883896971,1.4464911998299284e-14
17,113.20161788628621,82.398884702944684,140.01493667592015,36.050683564793395,3.6297778248548567,-4.9128218305198459,-4.9128218305198477,3.8994334298344095,25.722302184291525,7.9960240350317902,6.3042213700857888,0,270,6.9522767442674542,5.2604740793214528,5.3038010660430468e-14
17.5,124.06867606184917,78.929483695722681,147.04727055002897,32.463529635754071,3.6117635546437956,-4.938663511780562,-4.9386635117805611,3.4000735448914519,22.428314457525474,8.0511856929194465,6.371638061670529,0,30,6.9694882616168305,5.2899406303679131,6.4609940259069759e-14
18,134.56463653360146,73.462747978639342,153.31150232775539,28.63140984999324,3.5861172601659592,-4.9759388390449057,-4.9759388390449057,2.9223783237317535,19.277235960672272,8.108545979593103,6.4464876587071567,0,90,6.9868704431636477,5.3248121222777014,6.4609940259069759e-14
18.5,144.20380894910733,65.981780105391522,158.58226200085207,24.586899683103969,3.5531811281712042,-5.0246660290640923,-5.0246660290640923,2.462322838291811,16.242516576187317,8.1681022691687524,6.528577107682846,0,90,7.0043226230803244,5.3647974615944181,5.400233812698374e-14
19,152.4692556906187,56.625518524812911,162.64477636572036,20.374480469358939,3.5132892694240843,-5.0850138512463623,-5.0850138512463623,2.0163227287985177,13.300512360179772,8.2298446745782385,6.6177202888826452,0,330,7.0217273023430096,5.4096029166474162,1.7840058131235445e-13
19.5,158.87613035015781,45.706145069849143,165.31992164341969,16.049688505302967,3.4667579200924794,-5.1573176971248547,-5.1573176971248529,1.5811240624787115,10.429759004158488,8.2937545477427683,6.7137413023963592,0,210,7.0389472226664633,5.4589339773200543,6.4609940259069759e-14
20,163.04319865851645,33.694964270184194,166.4885438880689,11.676525467244117,3.4138791725425164,-5.2420982571728736,-5.2420982571728736,1.1537097568330204,7.6103545636076273,8.3598025377195349,6.8164751031916575,0,30,7.0558218015565775,5.5124943670287001,1.3693450025056459e-13
20.5,164.7540134053412,21.173800668374486,166.10904481066467,7.3233761582591486,3.3549172105162479,-5.34008519120282,-5.34008519120282,0.73121733450195814,4.8234169345084208,8.4279460070442109,6.9257659309189616,0,30,7.0721626944223601,5.5699826182971108,9.3539764255667828e-14
21,163.9894543133228,8.7611827590750107,164.2233218800524,3.0581357878661177,3.2901065936839062,-5.4522477159315352,-5.4522477159315343,0.31086371155012904,2.0505877252435654,8.4981259036598988,7.0414638430923926,0,90,7.0877485393043855,5.6310864787368793,1.6200701438094921e-13
21.5,160.9220258378638,-2.9676122414125552,160.94938683380403,-1.0564892208776677,3.2196519587031927,-5.5798349787433477,-5.5798349787433486,-0.11012730582188561,-0.72644600557079431,8.5702625747220438,7.163419134615947,0,30,7.1023183150103666,5.6954748749042698,1.2729122558503203e-13
22,155.87555814712206,-13.545765443349264,156.46302243381044,-4.9665920219095581,3.1437291536119258,-5.72442893441732,-5.72442893441732,-0.53459871410099102,-3.5264378579283266,8.6442506208161056,7.2914745418107012,0,270,7.1155633414351875,5.7627872624297831,1.4272046504988411e-13
22.5,149.26475314612577,-22.651525389551281,150.97370014094292,-8.6290263717615048,3.0624875886044163,-5.8880140676558579,-5.8880140676558579,-0.96553991282581331,-6.3691071678981652,8.7199523385765705,7.4254546815655269,0,150,7.1271173664824996,5.832619709471456,2.2661695464001654e-13
23,141.53243306849163,-30.113651269525015,144.70059296032488,-12.011620768846202,2.9760539220229174,-6.0730694842093014,-6.0730694842093014,-1.4061777522100263,-9.2757395960238469,8.7971895172645667,7.5651520775366219,0,210,7.1365443695477557,5.904506929819811,1.2729122558503203e-13
23.5,133.09842507387526,-35.892610072753278,137.85307473894335,-15.091933819082213,2.8845372676321581,-6.2826912420629979,-6.2826912420629979,-1.8600864664717571,-12.269912293778884,8.8757331778637241,7.7103087872821243,0,210,7.1433234949228011,5.9778991043412013,1.4850642984920366e-13
24,124.32659162170253,-40.048657436528629,130.61774897286361,-17.855028303381086,2.7880361894474444,-6.5207562972693687,-6.5207562972693687,-2.3313274574583605,-15.378415975119371,8.9552908171347347,7.8605924089276478,0,90,7.1468303744483581,6.0521319662412711,1.0704034878741356e-13
24.5,115.50976864461522,-42.70712060782548,123.15195817746418,-20.290731861569796,2.6866479800822871,-6.7921444078782294,-6.7921444078782267,-2.8246354857999405,-18.632483111605403,9.0354906861601254,8.0155648449319141,0,90,7.1463139568007961,6.1263881155725848,4.4359063461450975e-14
25,106.86844033449427,-44.027744031469723,115.58246313359125,-22.390719913633539,2.5804807887038823,-7.1030425325528217,-7.103042532552819,-3.345678181131944,-22.069499770924722,9.1158625717484636,8.1746418299455978,0,150,7.1408676267849831,6.1996468849821174,3.0183449703116837e-13
