mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
10,20.113294050419778,-0.54027036935085515,20.120548939595313,-1.5386723844555126,2.4862642872558753,-7.4052852924795491,-7.4052852924795474,-27.063597581253628,-178.52286689982773,1.5561016536292351,0.68496834324163269,25,90,1.2255473890911803,0.35441407870357788,5.7859647993196844e-14
10.5,22.765883357210097,5.0609392479882489,23.32163268525434,12.533254225165658,2.2245608848411389,-8.4098039703637557,-8.4098039703637539,25.08848412070444,165.49418819696666,1.5870661170592393,0.91069736605680573,25,90,1.250463119412454,0.57409436841002048,9.6432746655328615e-15
11,25.745111561713472,10.341157931844368,27.744374505409567,21.884076106627553,2.0530026919731528,-9.2459541157436238,-9.2459541157436238,22.608408586366085,149.13456737460828,1.6064414659684536,1.0563928228620529,25,180,1.2652451510180216,0.71519650791162093,7.5217542391155741e-14
11.5,29.076143656825089,15.285511560629416,32.849185585375864,27.731187124084027,1.9486957344176505,-9.8500602730661946,-9.8500602730661928,20.14885673898139,132.91032941933997,1.616178350458259,1.1416193780916681,25,180,1.2718884333649794,0.79732946099838864,3.4715788795918197e-14
12,32.779479244673013,19.862971791643101,38.327952044787864,31.214082641238754,1.893547082023364,-10.206262248204489,-10.206262248204487,17.802250356835465,117.43112723388099,1.6179645503382958,1.1827144778914473,25,180,1.2721206194720454,0.83687054702519692,1.6393566931405848e-14
12.5,36.867662882558044,24.026713312449491,44.005766883677708,33.092349986181787,1.8727445942114958,-10.348196972345436,-10.348196972345436,15.644680980760238,103.19889260964815,1.6132725336705414,1.1927176464790701,25,270,1.2674482056578773,0.84689331846640603,1.7840058131235445e-13
13,41.341112997916071,27.715005889152181,49.771569950547118,33.837827098893584,1.8743577297319729,-10.337033275113372,-10.33703327511337,13.715188428808318,90.471148598448366,1.6034007896690328,1.1817091681348693,25,270,1.2591965728668952,0.83750495133273162,2.5072514130385391e-14
13.5,46.183242974542125,30.853290201168345,55.54113293661829,33.745397221959948,1.8892313008839277,-10.235351395382281,-10.235351395382279,12.016674888763939,79.267039250955918,1.5895047942159706,1.1573098072247388,25,270,1.2485398005326513,0.81634481354141941,2.8929823996598604e-15
14,51.355233758564736,33.357991217974345,61.238187534374987,33.005894867152918,1.910704307892819,-10.092413954628496,-10.092413954628496,10.529368171934157,69.456138898530426,1.572622025520686,1.1251949935168553,25,0,1.2365246447208456,0.78909761271701484,4.1466081061791144e-14
14.5,56.791172125233246,35.142587300499443,66.785018331442373,31.749375257219675,1.9341448752809902,-9.9413463599994039,-9.9413463599994039,9.2243069551769796,60.847406478689415,1.5536920276570463,1.0895508826453808,25,360,1.2240896787833018,0.7599485337716364,4.956643178083613e-13
15,62.394631725932413,36.126173663421547,72.09847773548637,30.070622545696043,1.9564515985221576,-9.802155520308089,-9.8021555203080872,8.0717557008628695,53.244693884718878,1.533572590687025,1.0534481186981646,25,360,1.2120806694322801,0.73195619744341966,4.1369648315134046e-13
15.5,68.03804889129735,36.244230735557636,77.089690351868128,28.044465646399459,1.9756248055450838,-9.6859067318377239,-9.6859067318377239,7.0450287584090905,46.471971347006196,1.5130529373861759,1.0191341462839683,25,270,1.2012630848220875,0.70734429371987995,2.1215204264172265e-14
16,73.566244294191335,35.460544932995525,81.66665504658333,25.735087505389654,1.9904375579647462,-9.598152756823179,-9.5981527568231773,6.121610204893944,40.38071437250089,1.4928645744710922,0.98825529598092221,25,270,1.1923323985454901,0.6877231200553201,3.5680116262471476e-14
16.5,78.804972997242061,33.778396586986759,85.739161677052849,23.201561353199779,2.0001970100081117,-9.5412844394132073,-9.5412844394132073,5.2830272177838697,34.84906845798988,1.4736903731498718,0.96202254573647261,25,90,1.1859227570466484,0.67425492963324918,1.6104268691439594e-13
17,83.574372274219613,31.248545417681726,89.225261511248959,20.500822841996513,2.0045755165291603,-9.5160106925893206,-9.5160106925893189,4.5142786536900026,29.778079755356135,1.4561723059890213,0.94133395646565488,25,0,1.1826144348394967,0.66777608531613031,1.6393566931405848e-14
17.5,87.705812491208761,27.971638975353134,92.05825401185146,17.688819695391974,2.0034931605670065,-9.5222446096279221,-9.5222446096279221,3.8031858292240708,25.087412549179259,1.440919082915376,0.92686469162793794,25,90,1.1829412675374531,0.66888687625001508,1.0607602132086145e-14
18,91.059183379096126,24.093285566677057,94.192681706517433,14.820237491660864,1.9970300157156931,-9.5596571898827953,-9.5596571898827936,3.1397969873781282,20.711420866620102,1.4285087975497788,0.91913278539202969,25,360,1.1873933955961773,0.67801738343842821,1.3500584531745998e-14
18.5,93.537477152658028,19.792607178939878,95.608613267967883,11.947597171673404,1.9853737919674805,-9.627954175349613,-9.627954175349613,2.5159044581815242,16.595963466133473,1.4194997469827624,0.91854818861188747,25,0,1.196427848527863,0.69547629015698809,1.4464911998299065e-13
19,95.095252523113146,15.265439869204574,96.312723494016922,9.1197651754170224,1.9687738834957296,-9.7270939678209736,-9.7270939678209736,1.9246458512030231,12.695773135557657,1.4144325197016607,0.92544841276932055,25,0,1.2104708057886802,0.72148669885633998,1.2150526078571248e-13
19.5,95.739730184071064,10.706130307706605,96.336478874226671,6.3806132540958025,1.9475126972302446,-9.8574129226693845,-9.8574129226693845,1.3601934742041721,8.972407966986836,1.4138362916116813,0.94012549089058139,25,90,1.2299238279845524,0.75621302726345241,3.0954911676359414e-13
20,95.524806850515716,6.2912118960369927,95.731750589598917,3.7680273067410779,1.9218844557483572,-10.019730915614025,-10.019730915614025,0.81750717325376399,5.3926209862626759,1.418234398075481,0.96284629321202586,25,360,1.2551692771260039,0.79978117226254875,1.6393566931405848e-14
20.5,94.54002305678631,2.1676553941473435,94.564870271604889,1.3134727945389986,1.8921800976323648,-10.21545604517196,-10.215456045171958,0.29213616791398572,1.927052974555735,1.4281501311393132,0.99386808170176077,25,0,1.2865757392858779,0.85229368984832543,4.6769882127831908e-13
21,92.897277649132903,-1.55315045223912,92.91026031040586,-0.95783943237571878,1.8586765854963978,-10.446708077058542,-10.446708077058542,-0.21994314873145235,-1.4508374708361766,1.4441128253175128,1.0334505281858786,25,0,1.3245033948171367,0.91384109768550248,1.0125438398809397e-13
21.5,90.717923549709411,-4.796010304312019,90.844611111556787,-3.0262549834640007,1.82162944481069,-10.716479679933498,-10.716479679933496,-0.72246407640992161,-4.76567676435503,1.4666642479855563,1.0818649629161881,25,360,1.3693092114948753,0.98450992642550705,9.3539764255667828e-14
22,88.122089807974078,-7.5184370385398074,88.442238820753147,-4.8765754071150216,1.7812677181222365,-11.028858306505516,-11.028858306505514,-1.218990061791112,-8.0409708982698778,1.5102758843355608,1.1533118699557972,20,350,1.4213517060285283,1.0643876916487647,9.1996840309173845e-13
22.5,85.221092695853187,-9.7047388197173916,85.771886978392473,-6.4966959181775499,1.737790761697332,-11.389340816347566,-11.389340816347568,-1.7130265114130794,-11.299843007742048,1.5768424425062741,1.2494121232820807,20,350,1.4809949441222969,1.1535646248981035,9.8361401588424144e-13
23,82.112973210048111,-11.359203639841416,82.894944820088185,-7.8760976819017419,1.6913665468123957,-11.80528976841787,-11.805289768417868,-2.2081317998890482,-14.565765627623907,1.6517508087471047,1.3552710890871147,20,350,1.5486111579437218,1.2521314382837319,1.0626888681415922e-12
