mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
3,22.451596749329358,96.621448120051596,99.195657331409009,76.91851905809952,20.96935435944777,-0.82906540567746756,-0.82906540567746767,23.604839044896377,155.70744156803613,3.1614878621965481,-4.4384075150611597,20,180,3.0972266062571818,-4.5026687710005255,0.22963461162520871
3.5,37.507258697120562,244.18443267327513,247.04823742528899,81.267494268259512,15.549427063573731,-1.1187414296419587,-1.1187414296419587,18.611622241724991,122.77008443810286,3.0626431670654379,-3.3752722682754386,20,180,2.9825852002008304,-3.4553302351400461,0.29085161582061531
4,65.872434960592173,426.63006543196042,431.68552259499768,81.222742227689594,13.041348462282295,-1.3346738553775976,-1.3346738553775974,14.008830680356015,92.408136333793891,2.939580068711745,-2.8347713709153295,20,180,2.8461642647512368,-2.9281871748758377,0.38411602416986812
4.5,131.94329977406244,697.96643204537042,710.32821612083865,79.295151488780476,11.824012594408934,-1.4727129389340261,-1.4727129389340248,9.7505353987038994,64.31863051313681,2.7715504253136447,-2.6406795422880527,25,180,2.6607364800759381,-2.7514934875257593,0.58687252811465318
5,367.35940123566343,1226.9419511925792,1280.7573857965756,73.331743610131156,11.057224506803026,-1.5753840526187384,-1.575384052618739,5.688530356924594,37.523937633048327,2.5444238803364483,-2.6234618819801847,30,180,2.3601606858453632,-2.8077250764712698,1.0259015593973404
5.5,2510.6489060234812,2181.163022956544,3325.7826239894021,40.982957369178976,9.8680465528278773,-1.7664705150822555,-1.7664705150822557,1.5535173604230503,10.247653591830019,3.4911855264233873,-1.2689324647351636,65,230,1.7920037412247254,-2.9681142499338256,0.84187424496333652
6,1220.4962203466125,-1507.0353792926996,1939.2696198105764,-50.997175067112018,7.0747827813866877,-2.4720018994126542,-2.4720018994126556,-3.1631898603333273,-20.865730090752166,5.5431934654786001,1.9183075150862425,75,230,0.75212518251972449,-2.872760767872633,0.52333492905943346
6.5,423.334493545486,-532.10320457430771,679.9602295308606,-51.494691849874044,3.1750384121995618,-5.6638708867287555,-5.6638708867287537,-9.3256440363394582,-61.51586846708809,6.4719639294389566,5.0968441702772154,65,250,-0.29321263484899746,-1.6683323940107382,0.43147342376525616
7,468.14335140122358,-18.92840794150225,468.52586063991112,-2.3153751213206188,1.0587804389944957,-30.887544160595386,-30.887544160595386,-6.8267499255293647,-45.032112403189018,6.1393265354525264,6.1357848746391417,55,260,-0.26250979394035612,-0.26605145475374065,0.27527616234666369
7.5,992.76935117540893,280.67675261630222,1031.6832964105192,15.786712268991415,2.4230730003398406,-7.6237796406435852,-7.6237796406435852,2.4764258603739639,16.335546038604445,5.3676617807003923,4.5436034582531679,50,260,0.23395873753628732,-0.59009958491093717,0.2884993421548856
8,1590.9664540466433,-720.08767292975881,1746.3391751338413,-24.351993362435827,4.3106065700616307,-4.1047311165412426,-4.1047311165412426,-1.9439585602412919,-12.82316788323533,4.7417316322417555,2.6048328422226761,45,260,0.59867801846470436,-1.538220771554375,0.30824759880449726
8.5,585.92639748855447,-1097.2819471527444,1243.920180245193,-61.898683464419044,6.482279447082921,-2.7014551032540446,-2.701455103254045,-5.5016104211014465,-36.29093515716928,4.412934813297932,1.0701337366143417,40,260,0.81220246833629939,-2.5305986083472911,0.34876269779043151
9,207.79460925706354,-784.26031767800475,811.32166587655024,-75.160119509618497,9.095110978386554,-1.9177658123806254,-1.9177658123806263,-8.6638643632572716,-57.15049153817241,4.3576679334149766,-0.11587407898874691,35,260,0.96468474910898938,-3.5088572632947344,0.42384213801327009
9.5,92.099009435768778,-555.49443291429998,563.07751911955211,-80.58619635642637,12.455894323078631,-1.3976713789076696,-1.3976713789076676,-11.687272560895458,-77.094163019035747,4.62006498604479,-0.98383730488000865,35,260,1.1751715015313158,-4.4287307893934829,0.51547717641656232
10,47.568352129284577,-394.90975670904294,397.76433232291089,-83.131600340413485,16.791822254722494,-1.0357636812089233,-1.0357636812089217,-14.720436657410662,-97.102188510169924,5.2009848758213213,-1.5318455499834478,35,100,1.6273266688506869,-5.1055037569540822,0.63479732825901247
10.5,28.560445767275969,-270.40097748026091,271.90510786799513,-83.970627763473516,21.461970628467121,-0.81000796171766609,-0.8100079617176642,-17.865372086489774,-117.84750469839697,6.0887166014199963,-1.6029446238772191,35,250,2.5242635796407971,-5.1673976456564183,1.3199592161748142
11,21.6286510053779,-164.06886453723956,165.48834054050909,-82.490191254457415,23.577119468210789,-0.73724898969510821,-0.7372489896951071,-21.20259514013626,-139.86123089398029,6.9323119993608282,-1.1328002575213079,35,110,3.754438174234207,-4.3106740826479291,1.4125894936890171
11.5,22.650202621961061,-64.648270875002424,68.501318278873867,-70.691553171642028,20.278435082785951,-0.85735814710209723,-0.85735814710209757,-24.802723979594738,-163.6091941756271,7.3365166909140527,-0.13133272217663627,30,240,4.7648567019611026,-2.7029927111295864,1.7730045871091717
12,31.896206301720358,37.475338417640891,49.211471893844191,49.598055263369687,14.206596729008107,-1.2248222444126931,-1.2248222444126919,25.836957491327325,170.43143319998617,7.271968598394249,1.1768284617623337,30,120,5.2995518955006649,-0.79558824113125048,1.6285211511533018
12.5,55.071447728140697,154.58321623292676,164.10007646490942,70.391171622980607,9.1485182295165863,-1.9064798939683871,-1.9064798939683869,21.467132887113753,141.60623308195088,7.0194879687884768,2.5255427366828416,25,120,5.5889784303286172,1.095033198222982,1.5282096922084423
13,114.73055782283261,308.68424978079304,329.31605937316414,69.611102870676262,5.8519043252872196,-2.9979812351443242,-2.9979812351443242,16.479068191671708,108.70286142049264,7.0562848406371117,4.0336311211479323,25,230,5.8767910491072461,2.8541373296180672,1.1523932294449588
13.5,321.17593370631846,530.78187070546448,620.38969580556216,58.821881566810582,3.8010298308819692,-4.6803334073301954,-4.6803334073301972,10.475916786400191,69.103551089143934,7.3219943067782998,5.5149189113575643,25,230,6.2624048781711217,4.4553294827503862,1.022620569773887
14,1022.672650286127,314.85695175887139,1070.0440410161348,17.112373046581126,2.5333036566389708,-7.2510558295237164,-7.2510558295237164,2.5368278476696289,16.733982939171511,7.7180329596259067,6.8118861156095782,25,230,6.704359844512819,5.7982130004964905,0.86946423747876755
14.5,515.19835286344437,-312.50049195987742,602.56609618229561,-31.239469386015092,1.9182527808238694,-10.043213116145857,-10.043213116145857,-9.137513121010814,-60.27487786130763,8.0262418814752863,7.5734419985432453,25,230,6.9890263431176578,6.5362264601856168,0.6636361386343691
15,234.11514909773965,-94.484256860896636,252.46223050510497,-21.97803121249401,2.0359545991259105,-9.3390909971487499,-9.3390909971487517,-22.512124997372016,-148.49944034498779,7.9154364472986147,7.3778117993968966,25,230,6.8087277167876872,6.271103068885969,0.40335540029459793
15.5,189.52835342304172,106.19659358434289,217.25264840771794,29.262797311434287,2.5329190017484584,-7.2522894584648405,-7.2522894584648379,22.495632404659776,148.39064827014406,7.2857525956671809,6.3798919174067299,25,230,6.1071560774674598,5.2012953992070088,0.11745253029368691
16,226.19047243978147,295.09886935460759,371.81376052655622,52.530178956539096,3.0161234583655867,-5.9857986402839467,-5.9857986402839458,15.705543125136924,103.60036489976686,6.5511173699377405,5.2900673307102997,25,310,5.1809267971602395,3.9198767579327987,0.16215983962836505
16.5,350.50444517888064,511.30350252262269,619.90695897211594,55.568913177450483,3.4285897399656262,-5.2182258724929795,-5.2182258724929795,10.375965546287048,68.444230690899801,5.9147722448753974,4.3612183789561358,25,310,4.3228819866932531,2.7693281207739915,0.4269863885199166
17,686.87038710719787,769.97015917501722,1031.816347372338,48.264676011196251,3.8390987328898563,-4.631679746080156,-4.631679746080156,5.8806977154029481,38.791554314722831,5.3731277786384091,3.5407308416458325,25,310,3.65121594300861,1.8188190060160334,0.69505855778750836
17.5,1609.5780120473405,707.4151243102076,1758.1744893408888,23.725655533005344,4.3156138956828478,-4.0997895392707857,-4.0997895392707848,1.8842717786797192,12.429448780355358,4.9882672654335956,2.8482244456244832,20,310,3.1877807735356543,1.0477379537265419,1.4533929437965545
18,1759.3351084332683,-863.74224741931971,1959.9261959938381,-26.148642720633124,4.9038288995393247,-3.592859756439112,-3.5928597564391134,-1.8281075513994098,-12.058965926359646,5.0674238590251779,2.5707016076755735,20,40,2.9508617344982024,0.45413948314859809,2.1165621244805712
18.5,651.68945902211772,-1034.9735895182152,1223.0574320123972,-57.80270329152453,5.6131868121421089,-3.1281949837484775,-3.1281949837484775,-5.4213018893088041,-35.761186320596664,5.5212656209837228,2.6257446758706675,20,40,3.0059798383874305,0.1104588932743753,2.5152857825748818
19,266.31818575288071,-711.94481980222758,760.125517599516,-69.490615054431117,6.353539272564193,-2.7571084648840944,-2.7571084648840944,-9.0416117787464696,-59.642272291808943,6.2643980727466015,2.9852268499372352,20,40,3.4618459660323109,0.18267474322294452,2.8025521067245709
19.5,142.24586794845973,-471.37626215963218,492.37126995388036,-73.20791123831566,6.8038925957230614,-2.5718383325908283,-2.5718383325908278,-12.828646285470448,-84.623143927930244,7.2654674827457786,3.7674162173546093,15,40,4.3413645289138234,0.84331326352265412,2.5338629341178538
20,101.09581054902844,-295.42143824832857,312.24059487401064,-71.108603036996755,6.4389724724395512,-2.7199218168527866,-2.7199218168527883,-16.910829745329696,-111.5509421364703,8.1063002356605871,4.7848068006596165,15,40,5.3766219812025646,2.055128546201594,2.2548696785710671
20.5,97.467844171403272,-152.31861176435578,180.83401266698004,-57.385044770273325,5.1690132276977661,-3.4036485676377728,-3.4036485676377728,-21.388029547924397,-141.08443420243995,8.4415029594098954,5.7918652788141713,15,40,6.1408384433489482,3.4912007627532238,1.9023963202882461
21,122.27250257336996,-22.778387664310877,124.3761224276605,-10.552777384213947,3.6904834731673826,-4.8277456284526057,-4.827745628452603,-26.339246430229956,-173.74474219801394,8.3150056821010985,6.5820860418991121,15,40,6.4884000386291794,4.7554803984271921,1.5560189058370137
21.5,184.57938652310315,104.12057116399221,211.92131386144499,29.427189353678791,2.5930213840212213,-7.0647639263096167,-7.0647639263096167,22.627833670904984,149.26270339832959,7.9884967534101792,7.0379616110558523,15,40,6.5708341987096563,5.6202990563553294,1.2563616954321621
