mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
3,11.375862490545304,-164.03478314037227,164.42876976768011,-86.032871908880111,51.909669246038241,-0.33469542299462407,-0.33469542299462296,-5.1184909934653264,-33.763718353073827,1.4253247171667247,-9.8722936854629886,30,180,1.006102863784917,-10.291515538844795,1.1631034665931761
3.5,17.313527690291988,-54.011124047998273,56.718248932867844,-72.226495497948775,6.4489746157510384,-2.7156341915482898,-2.7156341915482898,-12.49747411335408,-82.438593059326948,1.3092541025498925,-2.01716919551271,30,180,0.81559952466345398,-2.5108237733991485,1.3250618586692695
4,26.208818705979187,52.789140809736431,58.937217150057783,63.596463264637677,4.3273753151061118,-4.0882300731514905,-4.0882300731514896,12.05961735246631,79.550305794100183,1.2050507603874463,-0.94236957320279391,30,180,0.64614737857896853,-1.5012729550112716,1.5009757488149118
4.5,40.253191554629346,166.98104278233401,171.76433878721551,76.44661432680607,15.837704584587536,-1.0983233096811058,-1.0983233096811045,4.8104593783467973,31.731812326476867,1.1147371673633737,-5.3933982519674348,30,180,0.49852715966031969,-6.0096082596704887,1.6965281828146586
5,64.268513349908375,302.17588401884285,308.93479359045415,77.992916600780276,30.445751938544348,-0.57078670059002046,-0.57078670059002157,2.730385952867842,18.010773570865602,1.0377221916272612,-8.0576505322305003,30,180,0.3718278139963726,-8.7235449098613902,1.918771044060418
5.5,110.60953177805322,482.05893975777775,494.58597828947086,77.077043376823624,44.660066996581683,-0.38904293180502919,-0.38904293180502914,1.7070636400524801,11.260509401518668,0.99089963412795801,-9.6800376380027178,35,180,0.26428147149641484,-10.40665580063426,2.2451607514482101
6,218.97880556477304,758.66015447984648,789.63089306457562,73.899804527898013,57.158535664713682,-0.30395376291676801,-0.30395376291676712,1.0558725351694911,6.9649791197684232,0.99319997285136685,-10.707658435960857,35,150,0.17348922462894101,-11.527369184183282,2.1663844431995978
6.5,572.91945786446865,1264.3659060469829,1388.1130535996429,65.623393901548496,67.336949747570728,-0.25800183383095965,-0.25800183383095909,0.56987220566484953,3.7591166368911351,1.1787663113923013,-11.211211177637413,40,230,0.09631393871905973,-12.293663550310654,1.6833830243149444
7,2506.4689467097824,1754.0686112579369,3059.2716900956661,34.984967745708211,74.68646513266664,-0.23260998438015584,-0.23260998438015654,0.1628133241030858,1.0739851308056334,1.6283057000288281,-11.199039784177433,45,240,0.028525425617641969,-12.798820058588619,1.2548236549225629
7.5,2052.1974301185583,-1960.2174997606664,2837.9511867812621,-43.686791107352676,78.502776920489381,-0.22130069369208438,-0.22130069369208402,-0.21142569666710231,-1.3946527763717982,2.3176609748592956,-10.720534880764369,50,110,-0.03571366064775347,-13.073909516271417,0.7522109467439464
