mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
130,29.788584941542684,-35.309868397270435,46.196824555937404,-49.847902483373908,3.1561417562822012,-5.7002608322792927,-5.7002608322792909,-18.705364654258666,-123.38844879950653,3.4813643704440334,2.1197222561823228,90,150,-0.90248223847013131,-2.2641243527318422,2.8462080499821347
130.5,31.67384704221227,-32.067538065495668,45.07282533894977,-45.353876010836963,2.8752931013543717,-6.3047079848179655,-6.3047079848179655,-19.216758355871463,-126.76181663991774,3.3955111595121092,2.2368411917885127,90,20,-0.92691814383476001,-2.0855881115583568,2.8144270372040308
131,33.572854728566654,-28.897173130066648,44.296536992574104,-40.719575458980401,2.6334982987221363,-6.9441254937399819,-6.9441254937399819,-19.737762951262024,-130.19858197600649,3.3439235322654675,2.3633546431998376,10,270,-0.9510635611809275,-1.9316324502465572,0.8054683919913469
131.5,35.481270177507625,-25.795677210299853,43.867271355160391,-36.017990322458232,2.4244668773772102,-7.6188122944605148,-7.6188122944605139,-20.272122251999921,-133.72344056274497,3.3292626493541038,2.504165716627889,10,270,-0.97474419545386171,-1.7998411281800764,0.76164241410857114
132,37.395312850928342,-22.759787660919898,43.776904385634303,-31.325812170113409,2.2430846785587208,-8.3291514961255331,-8.3291514961255313,-20.824720463737712,-137.36861067388651,3.3151143075635812,2.6250051406922457,10,90,-0.99783978838004261,-1.687948955251378,0.72140625644070377
132.5,39.311729420239608,-19.786146175807588,44.010267557702456,-26.716755080721924,2.0851942436079223,-9.075500619810569,-9.075500619810569,-21.401807863071024,-141.17532176140693,3.3015693072639012,2.7279841463775876,10,90,-1.0202704595307761,-1.5938556204170899,0.68437550233191358
133,41.227758439707458,-16.871358691027226,44.546277173790514,-22.255520527958538,1.9474221664636586,-9.8579760766981988,-9.857976076698197,-22.011294084510276,-145.19574909966468,3.2886874261634746,2.8150415225858061,10,270,-1.0419864386771951,-1.5156323422548637,0.65021685782917871
133.5,43.141091909118011,-14.012045249581998,45.359576973196091,-17.993578650340858,1.8270451490764319,-10.67607051426692,-10.67607051426692,-22.663114009944852,-149.4954273461228,3.2765051930761784,2.8879430138713085,10,90,-1.0629603334851869,-1.4515225126900568,0.61864009469213233
134,45.049835288966172,-11.204880443901658,46.422376127521865,-13.967300442819306,1.7218883267496612,-11.528005678437992,-11.528005678437989,-23.369649202963942,-154.15603049929558,3.265041776875774,2.9482854471157744,10,270,-1.0831812925489055,-1.3999376223089051,0.58939145416550254
134.5,46.952467337683743,-8.4466256388807288,47.706180666446734,-10.198278190198812,1.6302508554003667,-12.409674534460573,-12.409674534460573,-24.146133280348149,-159.27804589952146,3.2543034553395089,2.9975043259213536,10,90,-1.102650593682424,-1.3594497231005793,0.56224821181706408
