mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
130,66.786855776716095,-7.4270660560823778,67.198552177418875,-6.3455341330772796,1.3720918532091793,-16.089626810586491,-16.089626810586491,-3.0664164870517965,-20.227372238071371,3.2651332328341534,3.1569349640221218,60,170,1.4154380404449551,1.3072397716329234,4.1523699472064717
130.25,66.470468590070311,-7.1740090172219508,66.856485100270604,-6.1599612862723321,1.3639368198989681,-16.252197385152829,-16.252197385152826,-3.0337233283320026,-20.011714419293003,3.2351224625698398,3.1309476078030416,60,170,1.4524630067027418,1.3482881519359433,4.2235412613376351
130.5,66.155906483133023,-6.9074173537854486,66.515534855433728,-5.9607228414635118,1.3557141696685826,-16.42042857672028,-16.42042857672028,-2.9934145941865924,-19.74582106349887,3.2109992501481073,3.1108286310865743,50,350,1.4881746807681688,1.3880040617066358,6.0197476372724719
130.75,65.842795730475515,-6.6281024730369591,66.175565671917028,-5.7483473507653171,1.3474328717116846,-16.5944455162401,-16.5944455162401,-2.9452547573533239,-19.42813853385401,3.2004654762368476,3.1042731340653171,50,350,1.5225605980970467,1.426368255925516,6.128460619851853
131,65.530712689624337,-6.3367401039290545,65.836377336202474,-5.5232594493410314,1.3391003311484162,-16.774412730704512,-16.774412730704508,-2.8889385359816178,-19.056653062934714,3.1885224931118143,3.0962765723057721,50,0,1.5556052632300179,1.4633593424239757,6.2028824963680487
131.25,65.219201977872089,-6.0338742106202847,65.49772472857407,-5.2857775364281379,1.3307228337315484,-16.960529008824089,-16.960529008824089,-2.8240781838200752,-18.628806913462277,3.1765101369507298,3.0881735217033346,50,180,1.5872900080840091,1.4989533928366139,6.3072265631355844
131.5,64.907792961705766,-5.7199224675096527,65.159336247340505,-5.0361131804870212,1.3223060244935096,-17.153020509321532,-17.153020509321529,-2.7501897226154921,-18.14140756141915,3.1637106827642709,3.0792413857589924,40,180,1.6175929119902412,1.5331236149849627,8.2536847329831566
131.75,64.596014620087686,-5.3951828401768234,64.820931053769357,-4.7743719376981195,1.3138554194000815,-17.352131732012246,-17.352131732012246,-2.6666779425717291,-17.590528752770023,3.1759442556382709,3.0952955628271828,40,180,1.6464887903998069,1.5658400975887188,8.3421135343713466
132,64.283408761885582,-5.0598414849529041,64.482235056645791,-4.5005558424361007,1.3053769540362015,-17.558113768626534,-17.558113768626534,-2.5728203021298155,-16.971404299642995,3.1861318278876039,3.1092522048796729,40,360,1.6739492357865999,1.597069612778669,8.4198392553514054
132.25,63.969541589326475,-4.7139811108564622,64.14299547933571,-4.2145668744167946,1.2968775658443823,-17.771209308462179,-17.771209308462176,-2.4677494290899236,-16.278312650373785,3.194321446114381,3.1211542174395364,40,360,1.699942741166236,1.6267755124913914,8.4861108351186481
132.5,63.654013780815148,-4.3575900536043726,63.802994141995221,-3.9162116464777825,1.2883658206721342,-17.9916333855458,-17.9916333855458,-2.3504344300049138,-15.504453598408215,3.2005624796083909,3.1310452917257336,40,180,1.7244348820510416,1.6549176941683843,8.5402551441716934
132.75,63.336469093439966,-3.9905717244278369,63.462059373393167,-3.6052070503705815,1.2798525878916234,-18.219548793991539,-18.219548793991539,-2.2196611428301969,-14.64181802047913,3.204905179797779,3.1389692618512379,40,360,1.7473885635350681,1.681452645588527,8.5816960611327548
133,63.016601585283233,-3.6127543213101827,63.120076593303232,-3.2811867820603764,1.2713517738189088,-18.455034710987611,-18.455034710987615,-2.0740117912464724,-13.68105366796606,3.2074002604338232,3.1449694979768994,40,360,1.7687643342238197,1.7063335717668962,8.6099718808846415
133.25,62.694161518749461,-3.2239006756191322,62.776997571605023,-2.943708656174485,1.2628811237672779,-18.698046741651922,-18.698046741651918,-1.9118449040984138,-12.61133270707113,3.2135451602236014,3.1545349985687183,30,360,1.7885207566315362,1.7295105949766534,8.1745618173311971
133.5,62.368960074263327,-2.8237181102068312,62.432848443034878,-2.5922626179533976,1.2544631052346029,-18.948366195441324,-18.94836619544132,-1.7312769820122349,-11.420230784121383,3.2417613704083919,3.1860775649900717,30,360,1.8066148329963094,1.7509310275779892,8.0753420031615715
133.75,62.040872907361134,-2.411868257827086,62.087736467038724,-2.2262794337440002,1.2461258826831023,-19.205536114008236,-19.205536114008233,-1.5301684011084626,-10.093634040532265,3.268215304126636,3.2157525365023272,30,360,1.8230024810224534,1.7705397133981444,7.9672493678298277
134,61.709842614098037,-1.987976751217347,61.74185555213036,-1.8451400062659189,1.2379043914225896,-19.468781396920587,-19.468781396920583,-1.3061174027892306,-8.6156994669180129,3.2929390133789713,3.2435793925157723,30,360,1.8376390454735425,1.7882794246103433,7.8512208448043648
134.25,61.375880190857075,-1.5516427898762661,61.395490588070203,-1.4481853473866928,1.2298415111821637,-19.736910553646879,-19.736910553646879,-1.0564680083789062,-6.9689071113884458,3.3159624348263126,3.269573904026263,30,360,1.850479848444152,1.8040913176441022,7.7281858243785031
134.5,61.039065529643068,-1.1024483248079988,61.049020573969344,-1.0347269975368976,1.2219893232876433,-20.008197610407024,-20.00819761040702,-0.77834009649885161,-5.1342584825571116,3.3373132883069347,3.2937479595399264,30,360,1.8614807566526801,1.8179154278856717,7.5990514141259391
134.75,60.699547008902975,-0.63996715313952435,60.70292056436098,-0.60405818758196506,1.2144104122635324,-20.280244859630812,-20.280244859630812,-0.46869336936050088,-3.0916984981011773,3.3570170382817928,3.3161094762200554,30,360,1.8705987724779338,1.8296912104161964,7.4646904761031259
135,60.357540140402442,-0.16377345313139591,60.35776233049269,-0.155465325621506,1.2071791276578943,-20.549831608897343,-20.54983160889735,-0.12443979037566269,-0.82085717050659179,3.3750969101558863,3.3366623903759036,30,360,1.8777926132420177,1.8393580934620353,7.3259323930797962
135.25,60.013325486422218,0.32654996242122836,60.014213906517277,0.31175992740179098,1.2003826700948195,-20.812761131518211,-20.812761131518208,0.25737783666279179,1.6977724095832791,3.3915739643100999,3.3554067295705412,30,360,1.883023298910957,1.8468560641713982,7.1835563936144968
