mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
2000,9.352858171342886,-86.069684720555486,86.57636273180502,-83.798224750157971,21.327255032344357,-0.81513194239115361,-0.8151319423911545,-9.0760149014156095,-59.869209751648185,4.5734415172597114,-3.0933156089556721,0,0,2.4794341630604544,-5.1873229631549291,0.06749345003218063
2020,9.0681652332974139,-83.257135528616374,83.749520817308436,-83.783985672995342,20.935491569622513,-0.83040844651495704,-0.8304084465149566,-9.3284865645049972,-61.534618977837148,4.7294131746579975,-2.8641027112691777,0,180,2.6235355108984093,-4.9699803750287659,0.36229314063713136
2040,8.7127235841367181,-80.3908840258011,80.861645955937448,-83.814455533864503,20.6997507039389,-0.83988028442816653,-0.83988028442816631,-9.6001110280531989,-63.326368127489793,4.9491810770899747,-2.5996627490223467,0,180,2.7919134299110571,-4.7569303962012643,0.84999499399105094
2060,8.2933542296408422,-77.447961049728491,77.890733692388352,-83.887891319281835,20.611317715534483,-0.84348945037925938,-0.84348945037925838,-9.8949048899367718,-65.27095236873572,5.1683955818995164,-2.3635718885688997,0,180,2.9831962250017705,-4.5487712454666456,1.4057896036308903
2080,7.8223733315830017,-74.405444472600607,74.815504353736145,-83.998441702817232,20.654661321946847,-0.84171662135264336,-0.8417166213526448,-10.217503753848193,-67.398950092289908,5.391536686428382,-2.1487105340057653,0,180,3.1919449175489283,-4.3483023028852195,2.0312801972335075
2100,7.3178529727049879,-71.241390995842565,71.616246502819777,-84.135197176892319,20.801996123235281,-0.83574573863175849,-0.83574573863175849,-10.573215890830902,-69.745376885496611,5.6214178666127221,-1.9468572707314982,0,180,3.4064883272008091,-4.1617868101434112,2.6925065867479034
2120,6.804342184235928,-67.935794365891837,68.275700133245891,-84.280419771036804,21.002389544018516,-0.82775937157890611,-0.82775937157890533,-10.968076887051195,-72.350046012006118,5.852959510579856,-1.7531504713833224,0,180,3.6055442801471753,-4.0005657018160026,3.2572777332599614
2140,6.3142119798346457,-64.472582439118099,64.78104012205398,-84.406496105530294,21.163894292451754,-0.82143316335469385,-0.82143316335469274,-11.408758468225155,-75.256966979365558,6.0627578487016018,-1.5736078048594804,0,180,3.7538829158849181,-3.8824827376761641,3.4112533344158229
2160,5.8883599185124167,-60.844067738705483,61.128335177085638,-84.472250555484422,21.135744370047849,-0.82252883482487071,-0.82252883482487138,-11.902056883076973,-78.510970701231699,6.196351549353734,-1.4347556769307879,0,180,3.7997765027860653,-3.8313307234984566,2.7382789091805497
2180,5.5727201850528019,-57.057662022502122,57.329154936515295,-84.421715639413392,20.719446773269187,-0.83908064465633758,-0.83908064465633614,-12.453774957630412,-82.150335057504805,6.1626229443185645,-1.3899707689959415,0,180,3.6820770097797522,-3.8705167035347539,1.1338409392057729
2200,5.4071169303699023,-53.139198325910122,53.413587337110229,-84.189932119683945,19.749237713876646,-0.880370617351663,-0.88037061735166289,-13.067594014366975,-86.199343598862328,6.9173391513458418,-0.44660048695567323,0,0,3.3564435394472403,-4.0074960988542747,1.066535136784063
2220,5.4119863066468534,-49.122629402475162,49.419857498744875,-83.712909340269832,18.20943974856365,-0.95495933031950198,-0.9549593303195032,-13.745744843213972,-90.67271155346566,8.6817897040877785,1.6350614843240461,0,0,2.8322069083034589,-4.214521311460274,3.5089386714430324
2240,5.5912890329658653,-45.027212510694511,45.373035820114666,-82.921486405886981,16.24492316511768,-1.070720477122082,-1.0707204771220811,-14.492311294348777,-95.597377713892726,10.138527234101517,3.5330784889652289,0,0,2.1794630115807663,-4.4259857335555211,6.0365646897912129
2260,5.9610929181831462,-40.844194332023136,41.276904431065127,-81.696470867707831,14.032805896922891,-1.2400424545436242,-1.2400424545436222,-15.316019458283126,-101.03090304151628,11.290010729493057,5.2412548252159166,0,0,1.4803935115399323,-4.5683623927372077,8.6026954629203196
2280,6.5885390097931991,-36.554729869361871,37.143735973991411,-79.782837192947227,11.691455080758191,-1.4894920270945589,-1.4894920270945586,-16.226899129631445,-107.03944827803403,12.20031195361312,6.8293691810909865,0,0,0.76696752196912643,-4.6039752505530069,11.102943695826884
2300,7.6218547155505769,-32.184789129051481,33.074965163798296,-76.676915878220171,9.3233958608686684,-1.870440618701368,-1.8704406187013691,-17.221297949802839,-113.59892093076702,12.923655602622334,8.3635451362980717,0,0,0.0013523373899878002,-4.558758128934274,13.16986804037297
2320,9.2892570046499454,-27.919922317847547,29.424689597905356,-71.597163807722168,7.1059500881088073,-2.461013507002578,-2.4610135070025767,-18.243374462614543,-120.34096727956852,13.485570772717763,9.8463137075332199,0,0,-0.90009459792240742,-4.5393516631069506,14.212427605887445
2340,11.73828659423866,-24.318812808578397,27.003555850797866,-64.234168970426069,5.3137924043570761,-3.3086211380563584,-3.3086211380563597,-19.110478895259341,-126.06075263894451,13.893768797197485,11.162608580992377,0,0,-2.0319417807722933,-4.7631019969774009,14.169510685123832
2360,14.363026997312403,-22.323516613846195,26.544979535388457,-57.242632266063559,4.2256930460698898,-4.1904171598463442,-4.1904171598463442,-19.526940191600211,-128.80790642559001,14.159598243246679,12.076299704955527,0,0,-3.4791087104914391,-5.5624072487825913,13.721210770822239
2380,15.236563090289152,-21.815043600796667,26.609189805573212,-55.067898255128391,3.9583576660627409,-4.4857434364237037,-4.4857434364237019,-19.616802571684545,-129.40067646183269,14.313118226202031,12.402111453184455,0,0,-5.3320391690860074,-7.243045942103584,13.494306926745088
2400,13.607956984747611,-20.305577696635332,24.443669505473917,-56.17164455362429,4.32104786031503,-4.0944406172839276,-4.0944406172839258,-20.18295432926752,-133.13525145913823,14.400600521642657,12.257147896823607,0,0,-7.7691787090103741,-9.9126313338294239,13.838061722172128
2420,11.466459935878875,-16.224884320345812,19.867726962833938,-54.75036414275818,4.8425290631247622,-3.6396744087903645,-3.6396744087903636,-21.584333965855468,-142.37934066744114,14.464303939455288,12.003608582969887,0,0,-11.267113508795203,-13.727808865280604,15.010413734020073
2440,10.548099025867574,-9.9997179385361665,14.534674124650696,-43.471250472710864,4.9382485790174382,-3.5671049703334794,-3.5671049703334794,-23.709687413457527,-156.39906548422496,14.515422545693134,11.998584463454783,0,0,-16.733287832191344,-19.250125914429695,17.2426112871388
2460,12.085992246841473,-1.990133389080651,12.248748486969836,-9.3506686015341263,4.1439807592951192,-4.2763891182845288,-4.2763891182845288,-26.553690298460651,-175.15930410282701,14.513944632856177,12.482735139636087,0,0,-16.773522752010447,-18.804732245230536,19.749467315370033
2480,19.883748181316534,7.0661092049460237,21.101974813610017,19.563742218421659,2.5740151106920481,-7.1229497406061215,-7.1229497406061206,24.410508154745084,161.02197371148077,14.386131889704155,13.449715037073515,0,0,-10.704992197199314,-11.641409049829953,18.403489467540815
2500,39.049176307514621,-0.26495183682921214,39.050075157049321,-0.38875055781449241,1.2805289048064155,-18.20115929806412,-18.201159298064116,-27.05157219629595,-178.4435424053006,14.099855320660502,14.033637471972771,0,0,-7.3338414719356599,-7.4000593206233924,15.045110310517478
2520,21.358284087515411,-15.637074450668328,26.470632718897335,-36.209036469411885,2.6146913103944263,-6.9996341396508317,-6.9996341396508299,-21.073148655852592,-139.00734746569464,13.720044422480095,12.753424270004558,0,0,-6.1928672452332076,-7.1594873977087445,13.158789389952981
2540,10.743026848263417,-0.90302225195746666,10.780912533270964,-4.8047932432375848,4.6557733451225012,-3.7902546960263823,-3.7902546960263823,-26.958644820970203,-177.83055437195355,13.278883088032565,10.929561361195082,0,0,-7.4418461761139323,-9.7911679029514147,13.45869924866715
2560,18.880408294315419,23.548842527686606,30.183071443341145,51.278921775050321,3.3112911756773675,-5.4150538799451384,-5.4150538799451393,18.799576614684938,124.00991049620279,12.552637495873832,11.081064022875154,0,0,-12.535591110509426,-14.007164583508104,16.628752799800349
2580,22.476178499192358,-36.329816008842641,42.72041819977791,-58.256151496118996,3.5683042061885426,-5.0021710621944226,-5.0021710621944235,-15.239309145600632,-100.52488957084798,11.590718816015206,9.9408371254604315,0,0,-17.90638301016806,-19.556264700722835,21.50804729518206
2600,2.3465533385242674,6.5825209492517027,6.9882683561721439,70.379740012297219,21.677952501302887,-0.80192615897118924,-0.80192615897118813,25.00872477326115,164.96806201123377,11.300743174287149,3.5694488645359579,0,0,-4.3696756664196297,-12.10096997617082,18.961954919779316
2620,3.8836719808008744,-42.99651731526501,43.171557874326723,-84.838749192720641,22.427873899158417,-0.77507591673163556,-0.77507591673163501,-14.919750033990603,-98.416943331353892,7.8527227579373218,-0.013453828008676894,0,0,2.3707551715651594,-5.4954214143808393,3.3459002525362589
2640,0.03672913352737351,3.6525769375294477,3.6527616010111679,89.423871567009982,1368.5818771479901,-0.012693272253406895,-0.012693272253408048,26.020741405413574,171.64374915813781,7.3442654461619821,-18.004186805414292,0,180,-2.1756614422070051,-27.524113693783281,4.0331335283026872
