mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
0.97999999999999998,96.537045190933554,-234.76685985412655,253.84026390618854,-67.647344678351104,13.794698839532517,-1.2615212228277561,-1.2615212228277568,-3.1470752592520213,-20.759431407609807,4.4504343709340644,-1.5339660620822189,0,10,3.8956379679847455,-2.0887624650315377,0.0013637939435036722
0.98199999999999998,89.353963172636497,-202.99125094419546,221.78723744739284,-66.241564319748278,11.482533155706664,-1.5167296711844522,-1.5167296711844505,-3.5622125899282246,-23.497851760149825,4.4505341223725825,-0.854543448974459,0,10,3.8956760926117422,-1.4094014787352993,0.0013700113894227362
0.98399999999999999,83.084554930089524,-173.75798676721047,192.60031472800131,-64.444621543502834,9.4251260760980955,-1.8500981461388635,-1.8500981461388621,-4.0429166622418604,-26.668777904104012,4.450634105734621,-0.14752061422390295,0,10,3.8957142907211892,-0.70244042923733474,0.0013762475686774933
0.98599999999999999,77.578698982977627,-146.74023392643642,165.98539329915971,-62.135465278411374,7.6159654460641395,-2.2942144052547544,-2.2942144052547535,-4.6025220075114364,-30.360170013746995,4.4507343298512261,0.58250492132293541,0,10,3.8957525709739587,0.027523162445667992,0.0013825025230681403
0.98799999999999999,72.716144077304733,-121.66346353661517,141.73791295626103,-59.133970534480895,6.0477498594592749,-2.8990531243980087,-2.8990531243980087,-5.2559897191026881,-34.670717750406631,4.4508347915327882,1.3263632735010353,0,10,3.8957909299929421,0.77131941196118925,0.0013887763032942131
0.98999999999999999,68.399636089348064,-98.295458994911115,119.75185792368943,-55.167582335865347,4.7119236434041181,-3.743667185192848,-3.7436671851928476,-6.0181408876752673,-39.698187258705765,4.4509359363435683,2.0678704269068229,0,20,3.8958293696960418,1.5127638602592963,0.0014031984198838081
0.99199999999999999,64.549820599029204,-76.438499941434557,100.04760673131339,-49.819998623135234,3.5979957203170159,-4.958602627620702,-4.9586026276207011,-6.8988754206810343,-45.507882490014595,4.4510374905942136,2.7808725741086442,0,20,3.8958678943445415,2.2257029778589721,0.0014093728053006362
0.99399999999999999,61.10141878458063,-55.923207972819306,82.829877263339611,-42.466377594015086,2.6926330748397054,-6.7754666480004131,-6.7754666480004122,-7.891181695281495,-52.053551832477389,4.4511392740377298,3.4267878418055266,0,20,3.8959064863318602,2.8715550540996571,0.0014155645273796879
0.996,58.00032615533717,-36.603654479355399,68.584731211615349,-32.255775132151385,1.9786935685809846,-9.6675818664429443,-9.667581866442946,-8.9364106399452261,-58.948321354815484,4.4512413064764313,3.9551100871952634,0,20,3.895945165263841,3.3998139459826731,0.001421773643903899
0.998,55.20138424318661,-18.353436944995661,58.172514730393623,-18.391009839468627,1.4349640565719006,-14.960783689450805,-14.960783689450803,-9.7448288322691639,-64.280987601952333,4.4513435772408254,4.3105026228964212,0,20,3.8959839202815836,3.7551429659371789,0.0014280001839667136
1,52.666657401006006,-1.0625151671916151,52.677374082953804,-1.1557478795300411,1.0575249216403499,-31.06978137058832,-31.069781370588316,-3.2034947867802459,-21.131598329366334,4.4514460904761934,4.4480500256915851,0,20,3.8960227553449158,3.8926266905603071,0.0014342441961428588
1.002,50.364083345372286,15.365365957997405,52.655819832595824,16.966202638289186,1.3567549720354033,-16.398887949277608,-16.398887949277608,12.118457700955542,79.938441468603358,4.4515488492317479,4.3508743407679598,0,20,3.8960616733124804,3.7953871648486919,0.0014405057188536432
1.004,48.266411740258157,31.014777919932385,57.372144388220804,32.723776581451631,1.8630883909948859,-10.415589617527349,-10.415589617527349,11.473275368471914,75.682547575624497,4.4516518464654347,4.0378912364691448,0,20,3.8961006669581755,3.4823400569618861,0.0014467847893110779
1.006,46.350358725196614,45.960349363081775,65.274110239289669,44.757928867128904,2.5204682332555897,-7.2924615773267476,-7.2924615773267476,10.466056167059868,69.038506298673738,4.4517550900120542,3.555158688224493,0,20,3.8961397439159171,2.9995433421283559,0.0014530814546608165
1.008,44.59593203380539,60.268194431031795,74.973678140667758,53.500114203203324,3.3429200635584451,-5.3604872856854948,-5.3604872856854957,9.4933519586634745,62.622140425396971,4.4518585739393313,2.9580816902706242,0,20,3.8961788980695977,2.4024020144008906,0.0014593957572964522
1.01,42.985885103351634,73.99711661831212,85.576629905264625,59.847140202026296,4.3400950415388433,-4.0758032365286931,-4.0758032365286931,8.6262626514053888,56.902454839430291,4.4519623006620455,2.2965748830376111,0,20,3.8962181316259219,1.7408307140014876,0.0014657277420249784
1.012,41.505275638349381,87.199608572272126,96.573597017884936,64.546482853909481,5.51753377746551,-3.1836376429687654,-3.1836376429687623,7.8746085331887663,51.944228288129423,4.4520662738536565,1.6084503803609533,0,20,3.8962574480852616,1.0526415545925585,0.0014720774458464338
1.014,40.141104938155017,99.922692429730432,107.68404138061722,68.113605661223716,6.8777550709063728,-2.5438197819097779,-2.5438197819097788,7.2294890851438289,47.688749207344117,4.4521704818731056,0.9191879741060105,0,20,3.8962968355882523,0.36331432782115725,0.0014784449261220161
1.016,38.882020677212154,112.20863706242039,118.75432524059549,70.888011176533922,8.4212355713983111,-2.0726329118696469,-2.0726329118696469,6.6766223631971116,44.041807889985598,4.4522749444092948,0.24447575709194069,0,20,3.8963363136528018,-0.31146287366455239,0.0014848302010142885
1.018,37.718073251518831,124.09555895612954,129.70104395278074,73.093676904519668,10.147127484427374,-1.717564720893864,-1.7175647208938636,6.2014195963279652,40.907170669434642,4.4523796402442457,-0.40684863892425138,0,20,3.8963758608474928,-0.96285241832100432,0.0014912333353332759
1.02,36.64051231981005,135.61794214192278,140.48043769104675,74.881105480188808,12.053742625915904,-1.4445139475612079,-1.4445139475612079,5.7908268686404529,38.198728428711682,4.4524845888227924,-1.0303972706388729,0,20,3.8964154964327684,-1.5864663630288969,0.0014976543664839497
