mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
0.97999999999999998,68.544447037695235,-136.12215766138843,152.40598093938209,-63.272414798552241,7.371168474645267,-2.3713398607650045,-2.3713398607650027,-5.0472377071810381,-33.293701722604993,4.3157408914083497,0.55598253077900672,0,0,3.7640672180886758,0.0043088574593328488,0.0021441786057317586
0.98199999999999998,66.242748917234934,-120.26118693697103,137.29841538634349,-61.152971539415859,6.2871931477529355,-2.7867020936161224,-2.7867020936161224,-5.5082343630505237,-36.334629462901432,4.3158030205585938,1.0697653443476831,0,0,3.7640853112618933,0.51804763505098261,0.0021512294284102211
0.98399999999999999,64.079058029071703,-105.02751872402344,123.03213144223029,-58.611930144521139,5.316644471768325,-3.306803058174641,-3.3068030581746424,-6.0230484904181019,-39.730559869502457,4.3158652818318641,1.5831127198113677,0,0,3.7641034504833688,1.0313508884628724,0.0021582806737126393
0.98599999999999999,62.042284213350754,-90.381904849576529,109.62724914293935,-55.532510088488195,4.4556426065857915,-3.9663418475076173,-3.9663418475076151,-6.597278823653161,-43.518424547958027,4.3159276728436069,2.0887128198831415,0,360,3.7641216334178762,1.5369067804574108,0.0021653322554834923
0.98799999999999999,60.122442585984714,-76.288291256645721,97.131928248974006,-51.75852218829651,3.6998184716826348,-4.814930389071022,-4.8149303890710211,-7.2356120796008945,-47.729139052825872,4.3159901955172089,2.5767725952333751,0,0,3.7641398620395821,2.0249222617557483,0.002172384089376954
0.98999999999999999,58.310523262307171,-62.713501829722503,85.63352401291607,-47.08356048564881,3.0441708609580709,-5.926246048505984,-5.926246048505984,-7.9406510011831326,-52.379872170584321,4.3160528576747463,3.0347531026878403,0,360,3.7641581442222161,2.48285838923531,0.0021794360871393624
0.99199999999999999,56.598380467587361,-49.626967966445754,75.274249389126481,-41.245147401348845,2.4829181728631005,-7.4165216785374017,-7.4165216785374009,-8.7110920831626029,-57.462025432708359,4.3161156404833951,3.4474741988039099,0,360,3.764176461185019,2.8955350195055338,0.002186488168648598
0.99399999999999999,54.978630459400151,-37.000454779618039,66.269777886226848,-33.940436401368224,2.0093731476367584,-9.4884858894336475,-9.4884858894336457,-9.5386853250065791,-62.921178367470013,4.3161785573490974,3.7978635834235543,0,360,3.7641948263802938,3.2458798524547507,0.0021935402443075472
0.996,53.444570680008205,-24.807865877428625,58.921577919832394,-24.899754918086423,1.6158934237449509,-12.562289583348287,-12.562289583348287,-10.400967776509232,-68.609155912121878,4.3162416056272512,4.0685677324869056,0,0,3.7642132372191832,3.5165393640788376,0.0022005922289282769
0.998,51.990103494611432,-13.025034196194358,53.596850440976851,-14.064772235301479,1.2939727895751505,-17.845622571930807,-17.845622571930804,-11.223533329430882,-74.035144097163936,4.3163047862172652,4.2443908953032752,0,360,3.764231694649343,3.692317803735353,0.002207644036064636
