mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
6,74.646757321560926,-199.92281496030637,213.40400727323961,-69.525480267534476,12.793464628201846,-1.3606391340306068,-1.3606391340306083,-3.7769640895797467,-24.914442931139707,1.3224218609913343,-4.38056380892652,15,80,1.287840721549889,-4.4151449483679652,0
6.5,92.322287170962824,-102.67632677883299,138.07908164986983,-48.039437920864508,4.4469870793392836,-3.9743337918113717,-3.9743337918113704,-4.8194257621335206,-31.790958363308228,1.6221310422896202,-0.5997372701976813,15,80,1.5741548693105853,-0.6477134431767162,0
7,116.4569600348523,-7.5428689609540216,116.70097862795029,-3.7058475077296267,2.3411045339057193,-7.9285486595548571,-7.9285486595548571,-0.58832276475549683,-3.8808242810754621,1.8807242917719769,1.1177309910499993,15,80,1.8148860280803738,1.0518927273583962,0
7.5,150.4424869995357,87.879871148821906,174.22919860843936,30.291022067524789,4.1254951066003187,-4.2963399987101649,-4.2963399987101649,2.6543955340833838,17.5095088229846,2.1057465985299597,0.086390810477368518,15,80,2.0170764279754532,-0.0022793600771380262,0
8,200.07406913619789,185.34259960161953,272.72974236009236,42.811095303387603,7.5529056404365722,-2.3135953281756803,-2.3135953281756798,2.1918675912180379,14.458480069926395,2.3029710010157238,-1.5375621098511996,15,80,2.1858663440280606,-1.6546667668388628,0
8.5,275.57915128680713,284.59062061334998,396.15109486791607,45.921639565698598,11.483875807403738,-1.5165514384263865,-1.5165514384263861,1.5828586000012448,10.441200742838584,2.4761922254919662,-2.8293117805686889,15,80,2.3242518716324776,-2.9812521344281775,0
9,394.79383025723234,378.52117257891058,546.93733324731977,43.794518369677412,15.215186041026787,-1.1433877584927168,-1.1433877584927179,1.1023854166681886,7.2717976396636193,2.6278724211245978,-3.7271937119425975,15,80,2.4336873559717422,-3.9213787770954531,0
9.5,584.10563739740041,437.84731004705145,729.99291952378701,36.855335395447113,18.277233549337165,-0.95141010059147002,-0.95141010059147002,0.71541541719011703,4.7191808449584514,2.7587534508646465,-4.3024362023716014,15,80,2.5136327874321989,-4.5475568658040491,0
10,850.35488506569914,377.09280353437083,930.21632593311858,23.915057256427144,20.361245831845,-0.85386557530229812,-0.85386557530229767,0.37938041072479051,2.5025526767046498,2.8676523563223117,-4.6162358172261087,15,80,2.5612637911534843,-4.922624382394936,0
10.5,1057.4249835630119,80.026925453526886,1060.4489165729674,4.3279485785056888,21.269899825522096,-0.81733322186578927,-0.81733322186579049,0.061948404863268719,0.40863772094078271,2.9509423768061649,-4.7051685346247716,15,80,2.5708363171745239,-5.085274594256413,0
11,948.86795887665005,-301.0920204690687,995.49324868272515,-17.605122581293585,20.893023562915793,-0.83209894874620949,-0.83209894874620827,-0.2644841398187544,-1.7446485726156657,3.001727398785393,-4.583774637021051,15,80,2.5327055039904778,-5.0527965318159662,0
11.5,647.51649731565806,-449.20625063833523,788.07605591623553,-34.750482249994938,19.208108006315335,-0.90521667068587974,-0.90521667068588008,-0.62967119829227647,-4.1535759311338412,3.0085284268033927,-4.2465388570188747,15,80,2.4318104741889162,-4.8232568096333512,0
12,405.4439949363333,-406.19580452561024,573.91625229134365,-45.053072190650056,16.309869086489783,-1.0664461249795083,-1.0664461249795085,-1.0738434608372325,-7.0835229002623805,2.9534970384177628,-3.6672739639208629,15,80,2.2456488069897298,-4.3751221953488955,0
12.5,259.08528597523014,-304.91135281750962,400.12013006829665,-49.645213653487637,12.471368066153822,-1.3959297507324648,-1.3959297507324644,-1.6600047127608877,-10.950088934021586,2.8507736842093649,-2.7577194782564352,10,90,1.9419128014552889,-3.666580361010511,0
13,174.72209918903937,-199.6695010086089,265.32192065121831,-48.812240690046799,8.2225738002948177,-2.1232030206883739,-2.1232030206883739,-2.4843310458317518,-16.38769196514145,2.701665668928372,-1.4246994006467877,10,90,1.4757815544532837,-2.650583515121876,0
13.5,125.51012800984365,-103.6668033386669,162.78697229049129,-39.555468409030524,4.3934662951418213,-4.024488581379865,-4.0244885813798668,-3.5416236558433107,-23.362038495552792,2.4054412317291907,0.21675475356301099,10,90,0.79073210134178284,-1.3979543768243969,0
14,96.491146808192127,-17.955060447780358,98.147468678736345,-10.541031293861314,2.0197048491670953,-9.4298002361715589,-9.4298002361715572,-2.1419197368359679,-14.129003024865735,1.9095017324322088,1.3836907998484409,10,90,-0.17368329104334013,-0.69949422362710789,0
14.5,79.7404352084191,59.195916657645895,99.311094829163196,36.588625974092366,2.7351191164198889,-6.6595032367424301,-6.6595032367424292,5.8818591589603066,38.799215684685912,1.4548463943943566,0.39911962834349213,35,0,-1.4552050010541713,-2.5109317671050357,5.8576586316726971
15,71.012308650469052,129.75366804698996,147.91471310021171,61.308748903560186,6.7171950265074907,-2.6055293700610194,-2.6055293700610194,5.1247389683088507,33.804932621725101,2.8900290498880721,-0.56668097412308782,35,0,-2.9930227455435303,-6.4497327695546902,5.0677068275486175
