mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
140,27.787857021354601,-20.164818491064487,34.33343709296846,-35.967271907848655,2.1914443236438483,-8.5582703965893874,-8.5582703965893856,-18.681820061849784,-123.23313877007669,4.9504108078325162,4.2985696876117538,20,310,4.9504108078320703,4.298569687611308,1.427423100392355
140.5,28.161451903385888,-17.93338233342828,33.386727530916147,-32.489229903741581,2.0882338199764225,-9.0597591199822158,-9.0597591199822141,-19.356792202759586,-127.68553876275909,4.905598879632322,4.3297865494562968,20,310,4.9055988796319028,4.3297865494558776,1.4199375377544912
141,28.570304168434635,-15.735875111814153,32.617174092975709,-28.844975418982184,1.99307760332887,-9.5826957950508032,-9.5826957950508032,-20.069195233635497,-132.38484864121327,4.8581151985370399,4.3515976568610055,20,40,4.8581151985369946,4.3515976568609602,1.4125773288318597
141.5,29.010833559833678,-13.570200544316625,32.027781794082202,-25.068463417730513,1.9060063383756978,-10.123306424504769,-10.123306424504765,-20.824998392077735,-137.37044400605546,4.8086484467083261,4.364560621078315,20,130,4.8086484467083057,4.3645606210782946,1.4053222256818045
142,29.480147992675793,-11.434346072465763,31.619984120409988,-21.1995780735549,1.8270200924647431,-10.676256685761674,-10.676256685761674,-21.630724232007189,-142.68535036496147,4.7577347077116583,4.369189952679708,20,310,4.7577347077116343,4.369189952679684,1.3981468721223933
142.5,29.975642011366904,-9.3263935237077984,31.393004477951507,-17.282610630254243,1.7561370542647898,-11.234005777137174,-11.234005777137172,-22.493200598888315,-148.37460705696975,4.7058533736279919,4.3660211542543834,20,40,4.7058533736276065,4.3660211542539979,1.3910357282986525
143,30.495193882224303,-7.2445017824998335,31.343893440207676,-13.36358556596762,1.6933983898601612,-11.786355346264211,-11.786355346264212,-23.418945446604393,-154.48120924597418,4.6533814366111628,4.3555608516339861,20,310,4.6533814366101076,4.3555608516329309,1.383968720155101
143.5,31.036989345515934,-5.1869745715485465,31.467434163585072,-9.4877233746969534,1.6388882352719238,-12.319922120174724,-12.319922120174724,-24.413188665586159,-161.03965548784726,4.6006287388173037,4.3383020897504005,20,220,4.6006287388172549,4.3383020897503517,1.3769283088676341
144,31.599515277250678,-3.1521937701017273,31.756348834862411,-5.6966658159616674,1.5927286166165822,-12.818023317640318,-12.818023317640318,-25.478479515051845,-168.06676176807437,4.5478449910339851,4.3147215128887701,20,220,4.5478449910339078,4.314721512888692,1.3698958214107912
144.5,32.181484013889545,-1.1386310894671505,32.201620985505208,-2.0263687373095158,1.5550631657194673,-13.26118465715072,-13.261184657150718,-26.612902760493053,-175.54989439469361,4.4952359795044847,4.285283415015571,20,220,4.495235979504467,4.2852834150155532,1.3628525521495074
145,32.781873860993002,0.85506738225958234,32.793023557858469,1.4941380840289737,1.5260152019345909,-13.628753287031588,-13.628753287031586,26.766817414342231,176.56518015559638,4.442948373058492,4.2504176889900167,20,310,4.4429483730581163,4.250417688989641,1.3557793154800624
145.5,33.399794534616809,2.8302308116401136,33.519494050504044,4.8435571102713304,1.5056368837469447,-13.901587745546342,-13.901587745546337,25.526092424527555,168.38083653494624,4.3911109730671063,4.2105506705932649,20,40,4.3911109730668185,4.2105506705929772,1.3486595915582722
146,34.034505303876081,4.7880668398584589,34.369654280229838,8.0079719110279601,1.4938465993398011,-14.065553365045433,-14.065553365045432,24.262390123527481,160.04492491029546,4.3398218893351279,4.1660871146798151,20,310,4.3398218893350418,4.1660871146797289,1.3414755382293431
146.5,34.685439235587765,6.729685974513508,35.332256767452812,10.980133229001853,1.4903799750856819,-14.114657766584999,-14.114657766584997,23.002517934918775,151.73427831711743,4.2891480529470227,4.1174057218642606,20,220,4.2891480529469597,4.1174057218641975,1.3342101909305
147,35.352095523521726,8.6561376316953584,36.396419832217802,13.758463408360337,1.4947807796181267,-14.052391378304794,-14.052391378304792,21.773657859269626,143.62820065818917,4.23914747352962,4.0648746462452392,20,310,4.2391474735295178,4.0648746462451371,1.326845720040613
147.5,36.034187781039591,10.568366277448863,37.552004671036421,16.345738037958483,1.5064213619587608,-13.890841328985067,-13.890841328985065,20.599200798133236,135.8809881534464,4.1898385629026542,4.0088214655799126,20,220,4.1898385629026489,4.0088214655799073,1.3193594218913027
148,36.731416613370584,12.467273589916879,38.789558868216531,18.748094665806942,1.5245706432446098,-13.647670908239499,-13.647670908239498,19.49593590755541,128.60338913415313,4.1412483297670573,3.9495732164867325,20,310,4.141248329766908,3.9495732164865833,1.3117340117807701
148.5,37.443596378337404,14.35366169972243,40.100505158088971,20.973871099419416,1.5484561012279974,-13.342705697872159,-13.342705697872157,18.473229960640456,121.85719077339911,4.0933837416131178,3.8874294911364085,20,50,4.0933837416130689,3.8874294911363596,1.3039517305167223
149,38.170630324999841,16.228289115728838,41.477155001657003,23.03282913179029,1.5773250279266486,-12.994976117790165,-12.994976117790165,17.533863849139891,115.66073700223511,4.0462402145053948,3.8226682498457167,20,310,4.046240214505306,3.8226682498456279,1.2959916540174525
149.5,38.912498430919364,18.091855442869353,42.912676070154184,24.935453822714109,1.6104843825953821,-12.620930821021449,-12.620930821021448,16.675764179081035,110.00035084238418,3.9998038949587391,3.7555469978636689,20,130,3.99980389495872,3.7555469978636502,1.2878329263105788
150,39.669193021565491,19.945003445060966,44.40099140115808,26.69248117104107,1.647322278339642,-12.233725208329822,-12.233725208329822,15.893844297963685,104.84247859557938,3.9540614475988534,3.6863107907281947,20,310,3.9540614475985625,3.6863107907279038,1.279454334420099
