mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
140,11.932325689943241,-39.45024758017918,41.215317911042646,-73.171262541533139,6.8924391742027256,-2.5383227080651274,-2.5383227080651274,-15.384328017442691,-101.4814950139379,3.2874382372514654,-0.25245729877014744,20,310,3.2874382372511644,-0.25245729877044853,1.2959199880464409
140.5,12.197498788696558,-37.70595902850939,39.629765618280949,-72.074127030465732,6.5209984653288506,-2.6851574728011913,-2.6851574728011904,-15.743050035164092,-103.84777624581946,3.2343970323571263,-0.12737207555886698,20,310,3.2343970323568239,-0.12737207555916941,1.2826065865551053
141,12.473618914364337,-35.974294647206221,38.075465121056602,-70.876676403198218,6.1709003745391895,-2.84015036779383,-2.8401503677938313,-16.111012206850678,-106.27500941771964,3.1807529339542358,-0.0066355799142940874,20,310,3.1807529339539355,-0.0066355799145942918,1.2692134100590793
141.5,12.760070209598375,-34.254378906559715,36.553821496911141,-69.569176352973258,5.8416053370807699,-3.0033726580031459,-3.0033726580031459,-16.488575649084929,-108.76557660642609,3.126812292824686,0.10957397037046279,20,310,3.1268122928243454,0.10957397037012218,1.2557128221697342
142,13.056368847551848,-32.545430684361307,35.066705375810379,-68.140644550791194,5.5324347357301482,-3.1748704046188045,-3.1748704046188045,-16.876106564591012,-111.32189343905527,3.0728044539185886,0.22106577182877274,20,310,3.0728044539182808,0.22106577182846499,1.2420711863009768
142.5,13.362083432292708,-30.846702309093118,33.616429271970006,-66.578846499849348,5.2426370041910619,-3.3546441366259439,-3.3546441366259439,-17.273994381376056,-113.94652874645364,3.0189307326357895,0.327666883932757,20,310,3.0189307326354586,0.32766688393242616,1.2282630030271415
143,13.676888995168971,-29.157496273489762,32.205851665881212,-64.87016382927284,4.9713952381464424,-3.5426541345954057,-3.5426541345954066,-17.682644921958726,-116.64215950455788,2.9653366026813059,0.42920308654207107,20,310,2.9653366026810319,0.42920308654179706,1.2142568407230379
143.5,14.000522243175231,-27.477193124951331,30.838462430988951,-62.999680390472101,4.7178714894787257,-3.7388003244248553,-3.7388003244248535,-18.102475145715914,-119.41153615270333,2.9121350286497805,0.52550820597769343,20,310,2.9121350286494478,0.52550820597736081,1.2000237111740908
144,14.332788164579377,-25.805203649070069,29.51842394066265,-60.951226090630954,4.4812169148828094,-3.9429180845788685,-3.9429180845788681,-18.533923609856501,-122.25755159860464,2.8594081955071351,0.61642798922739672,20,310,2.8594081955068935,0.61642798922715514,1.1855308759273404
144.5,14.673545556038937,-24.140978014986398,28.250659438413233,-58.707623480811058,4.2605911856896075,-4.1547640551047182,-4.1547640551047156,-18.977447695644841,-125.18322292135979,2.8072166224048041,0.70182412238276282,20,310,2.8072166224045092,0.70182412238246794,1.1707446175314054
