mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
140,15.219245477425957,-276.40673332194132,276.82541006672227,-86.848416443211036,103.98017357151025,-0.1670733399090954,-0.1670733399090962,-3.0999040893427128,-20.448270540620648,4.4606082364100441,-9.7714321994393369,0,180,1.684313019310367,-12.547727416539015,0.03802375158666068
140.5,15.023924127919864,-268.93972151689678,269.35903939869456,-86.802578425261643,99.903024286989918,-0.17389222817864564,-0.1738922281786468,-3.1838310753951427,-21.001888222651214,4.4533393460397708,-9.6083580497997243,0,180,1.6713656479075725,-12.390331747931922,0.03950296344340852
141,14.841011423224465,-261.64360704885769,262.06417673844959,-86.7535338078698,95.909764818884724,-0.18113284765537346,-0.18113284765537377,-3.2702795527535731,-21.572138721344778,4.4458755850061733,-9.4422470336274351,0,180,1.6581932969307571,-12.229929321702851,0.04101136563919186
141.5,14.669892011023906,-254.50960148036211,254.93203599647464,-86.701130691031025,92.001182096827634,-0.18882869822869708,-0.18882869822869627,-3.3593979078297513,-22.16000085585333,4.4382200898497937,-9.2730152960787748,0,180,1.6447986713942562,-12.066436714534312,0.042549483708960639
142,14.509999941623668,-247.52942801925366,247.95434626931788,-86.645201033422296,88.177988165832886,-0.19701656197344183,-0.19701656197344253,-3.4513456211955145,-22.766526627072668,4.4303760218514174,-9.1005756166311951,0,180,1.631184489465537,-11.899767149017075,0.044117858385930533
142.5,14.360814508078908,-240.69528218498704,241.12331255904309,-86.585559176316579,84.440821022523068,-0.20573688472312432,-0.20573688472312468,-3.5462943170109456,-23.392848140111703,4.4223465645642364,-8.9248373079223846,0,180,1.6173534796838083,-11.729830392802812,0.045717046033631623
143,14.221856518068797,-233.99979593778627,234.43158000095926,-86.522000152277627,80.790245510343553,-0.21503420882767146,-0.21503420882767052,-3.6444289302355219,-24.040185303707883,4.4141349213707848,-8.7457061227623569,0,180,1.603308378186318,-11.556532665946824,0.047347619083338628
143.5,14.092684948318078,-227.43600490968802,227.87220124080994,-86.454297747608507,77.226754267679553,-0.22495766483500368,-0.22495766483500301,-3.7459490069807364,-24.709854407899709,4.4057443130414784,-8.563084172604114,0,180,1.5890519259432736,-11.37977655970232,0.049010166477265776
144,13.972893939113295,-220.99731843143709,221.43860665863963,-86.382202281737733,73.7507687294421,-0.23556153110559042,-0.23556153110559008,-3.8510701553898903,-25.403277694639812,4.397177975340516,-8.37686986185577,0,180,1.5745868660140636,-11.199460971182221,0.050705294115550872
144.5,13.862110091425228,-214.67749206744128,215.12457715601235,-86.305438059517414,70.362640173564245,-0.24690587190736962,-0.24690587190736943,-3.9600256672635714,-26.121994054718311,4.3884391566304304,-8.1869578430714931,0,180,1.5599159408115768,-11.015481058890348,0.052433625309567702
145,13.759990033999063,-208.47060241480443,208.92421926844005,-86.223700444009097,67.062650811159173,-0.25905726630872111,-0.25905726630872072,-4.0730683334765132,-26.86767100301558,4.3795311155189642,-7.993238999581842,0,180,1.5450418893788489,-10.827728225721957,0.054195801238900797
145.5,13.666218232058521,-202.37102394915891,202.83194239319729,-86.13665248691413,63.851014917032948,-0.27208964229949983,-0.27208964229949917,-4.1904724797063926,-27.64211810702524,4.3704571185298171,-7.7956004636469771,0,180,1.5299674447063663,-10.636090137470427,0.055992481413013044
146,13.580505012059083,-196.37340770984849,196.84243793440717,-86.043921041096453,60.72787999213547,-0.28608523308185074,-0.28608523308184952,-4.312536253326396,-28.447302072158863,4.3612204377993198,-7.5939256797544825,0,180,1.5146953310433942,-10.440450786510407,0.057824344137645339
146.5,13.502584780932441,-190.47266166131021,190.95066021386316,-85.945092264284355,57.693327958830899,-0.30113567537973163,-0.30113567537973096,-4.439584196633815,-29.285363715843584,4.3638135329485035,-7.376105341427154,0,100,1.4992282612503252,-10.240690613125333,0.025119810613214569
147,13.432214420033699,-184.66393256502349,185.15180899630795,-85.839706403792306,54.747376381106065,-0.31734327311750271,-0.31734327311750193,-4.5719701474967085,-30.158637101406864,4.3942669282074585,-7.1259887053022721,0,260,1.4835689341691516,-10.03668669934058,0.025505628646913799
147.5,13.369171707306224,-178.94258633034957,179.44131061362108,-85.727251700873566,51.889978654138453,-0.33482246068300059,-0.33482246068300248,-4.7100805870030218,-31.069671620577399,4.424499276293905,-6.8715337248670822,0,260,1.4677200446620022,-9.8283129564989853,0.025893777691527793
148,13.313254533421269,-173.30420411904109,173.81481499459682,-85.60715741384756,49.121029494231813,-0.35370145789354651,-0.35370145789354795,-4.8543380589247187,-32.021254549708054,4.4545137746424546,-6.6126113668514153,0,260,1.4516842303378863,-9.615440911155984,0.026284304666043781
148.5,13.264278936661524,-167.74455046975473,168.26816486789667,-85.478785360777778,46.440359816001646,-0.37412425346276951,-0.37412425346276956,-5.0052057924882281,-33.016441543513089,4.4843136803086079,-6.3490901331896712,0,260,1.4354641452434174,-9.3979396682548622,0.026677257364411899
149,13.2220785737565,-162.25957166084979,162.79739542564261,-85.341420257497063,43.847742294051272,-0.39625283137339151,-0.39625283137339212,-5.1631921887731025,-34.058586229239744,4.5139021913978681,-6.0808372266072084,0,260,1.41906240639267,-9.1756770116124073,0.027072685344853915
149.5,13.186503634480941,-156.84538035325357,157.39872050388135,-85.194258159706692,41.342891556431226,-0.42026978858363806,-0.42026978858363884,-5.3288563101306146,-35.151376417180977,4.5435072604408031,-5.8074945887443317,0,90,1.4024816040487793,-8.9485202451363559,3.0974198225680537e-12
150,13.157419987603985,-151.49824402679931,152.06852285707859,-85.036392779404125,38.925465450046111,-0.44638136702997716,-0.44638136702997677,-5.5028140543974953,-36.298874828384889,4.5737807106869059,-5.5282809893713569,0,90,1.3857242992691565,-8.7163374007891061,3.297035608144437e-12
