mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
140,18.735792708474062,166.59406202699336,167.64430032383629,83.583264367136451,32.639035236591432,-0.53240599255820686,-0.53240599255820664,5.0102435012596827,33.049672388369778,0.87006787908621108,-8.5088297120230596,0,360,0.46907200010066941,-8.9098255910086017,0.013114415921671113
140.5,19.04776851537742,170.42682635751689,171.4879605911465,83.622797990675849,33.473389280010181,-0.51912729583010453,-0.51912729583010342,4.903988549597937,32.348770058736527,0.85803758703396393,-8.6240452884149903,0,0,0.47351131159114435,-9.0085715638578101,0.011864123426738437
141,19.366626547096949,174.29156861030202,175.36424125931242,83.659517067220406,34.31097804298436,-0.5064472524398036,-0.50644725243980437,4.8011809980964237,31.670608229811208,0.84585672774635579,-8.7374073161684613,0,360,0.47795930318543411,-9.1053047407293821,0.01056243717540177
141.5,19.692575281656897,178.18914074896088,179.27400090943672,83.693547824080497,35.151478043650066,-0.49433107460942072,-0.49433107460942211,4.701651087773973,31.014067099989123,0.83352345041540266,-8.8489618876464391,0,0,0.48241563373394636,-9.2000697043278947,0.0092080746080818263
142,20.025831081279414,182.12041628127486,183.21812120246398,83.725006323938928,35.99457315202276,-0.4827464037782131,-0.4827464037782136,4.60523962141915,30.378096537538788,0.82103588747930178,-8.9587543363695374,0,0,0.48687995271924073,-9.2929102711295979,0.0077997286929488109
142.5,20.366618546218184,186.08629106023534,187.19750765317841,83.753999338991875,36.839954322047319,-0.47166311989637577,-0.47166311989637522,4.5117971839199811,29.761710937569084,0.80839215471628145,-9.0668291711365061,0,360,0.49135190013410407,-9.3838694257186841,0.0063360675689493823
143,20.715170887067657,190.08768411879993,191.21309044761836,83.780625131468838,37.687319333068757,-0.46105316669204055,-0.46105316669204083,4.4211834277747117,29.163984508957814,0.79559035134711564,-9.1732300247720318,0,0,0.49583110635557104,-9.4729892697635769,0.004815734187398741
143.5,21.071730316675048,194.12553854186868,195.26582530670649,83.804974151804771,38.536372541110708,-0.45089039157688471,-0.45089039157688471,4.3332664177979208,28.584046951757763,0.78262856014513271,-9.2779996153930249,0,0,0.50031719200050218,-9.5603109835376561,0.0032373459519713516
144,21.436548462588171,198.20082236926038,199.35669438932817,83.827129663975811,39.386824637218645,-0.44115039898535929,-0.44115039898535868,4.2479220298173255,28.021079490748047,0.76950484756443072,-9.3811797180363676,0,360,0.50480976781382003,-9.6458747977869788,0.0015994943582516281
144.5,21.809886801526172,202.314529539311,203.48670724400679,83.847168306592209,40.23839241505712,-0.43181041597096542,-0.43181041597096537,4.1650333983138115,27.474311231835543,0.75631651924785548,-9.4827118899504566,0,180,0.50930843453320318,-9.7297199746651089,9.9255367635801478e-05
145,22.192017117267401,206.46768087668201,207.65690181240905,83.865160597066492,41.090798548055545,-0.42284916900142905,-0.42284916900142899,4.0844904085903302,26.943015812187447,0.74462420795826934,-9.5810733711619385,0,180,0.5138127827728094,-9.8118847963473979,0.0018603646318888223
145.5,22.583221983018095,210.66132511579306,211.86834547585474,83.881171384983901,41.94377137259945,-0.41424677101830631,-0.41424677101830742,4.0061892297051624,26.426508319262744,0.77876052841353482,-9.6319684243031993,0,260,0.51832239289736715,-9.8924065598193671,0.015467294409826143
146,22.983795270113596,214.89653997105873,216.122136155812,83.895260260403717,42.797044679788577,-0.40598461783876988,-0.40598461783877038,3.9300318843814686,25.924142453754769,0.81502492129622661,-9.679133490698197,0,260,0.52283683490548638,-9.9713215770889363,0.016018810112270347
146.5,23.394042684622299,219.17443325586197,220.41940347019866,83.907481921929204,43.650357515546986,-0.39804529308722464,-0.39804529308722419,3.8559258526568234,25.435307915096942,0.85198546448653034,-9.7240353837662212,0,270,0.52735566832056868,-10.048665179932183,8.1861758635631389e-12
147,23.814282333477163,223.49614404805681,224.76130994325584,83.917886508682656,44.503453987374627,-0.39041248092731184,-0.3904124809273119,3.7837837064095741,24.959427990644969,0.88934334351413302,-9.7670068268415804,0,270,0.53187844206591073,-10.124471728289803,8.0530986731790331e-12
