mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
140,15.648216136437407,-172.95054029920985,173.65700693620533,-84.830070207713945,41.714658741603074,-0.41652284016194036,-0.4165228401619393,-4.8540955633890439,-32.019654947212153,3.9919545013113744,-6.3960974551863607,0,180,1.9263271251370733,-8.4617248313606623,0.039065062912146821
140.5,15.173586050176892,-167.65748090669314,168.34271180422482,-84.828621035912747,40.624006581130296,-0.42770988895415818,-0.42770988895415762,-4.9992913679298665,-32.977427512763796,3.9865437317451984,-6.2919064471942701,0,180,1.9229988219485783,-8.3554513569908906,0.041072711693591682
141,14.729259100366695,-162.55345834847992,163.21941641452077,-84.822466259421617,39.542998515270106,-0.4394073440855461,-0.43940734408554538,-5.1474620192645375,-33.954823418362203,3.9809009781993705,-6.1861204337554998,0,180,1.9194782541665736,-8.2475431577882965,0.043125653344825765
141.5,14.312823455832383,-157.62627300615591,158.27475748548477,-84.81164134637838,38.47220980911306,-0.45164271090005292,-0.45164271090005287,-5.2987494353059787,-34.952778814221816,3.9750273766718287,-6.0787301966634022,0,180,1.9157665746188854,-8.1379909987163455,0.045224609647752136
142,13.922109682469181,-152.8647156511264,153.49738248292846,-84.796159721226701,37.412203535534999,-0.46444519468898499,-0.46444519468898493,-5.4533025815197425,-35.972276339176929,3.9689241224288496,-5.9697275084069572,0,180,1.9118649836482684,-8.0267866471875386,0.047370316283326178
142.5,13.555162160169406,-148.25846797732771,148.87684758945159,-84.776013218699518,36.363530077336833,-0.47784580839457791,-0.47784580839457902,-5.611277901060113,-37.01434795804029,3.9625924486623694,-5.8591052963013466,0,180,1.9077747074054447,-7.9139230375582716,0.049563525524189307
143,13.21021405500435,-143.7980148895453,144.40352780161891,-84.751172416479235,35.326727560526599,-0.49187747321715114,-0.49187747321715081,-5.7728397697810649,-38.080077963046591,3.956033707937423,-5.7468578250970923,0,180,1.9034970791871699,-7.799394453847345,0.051804997003558506
143.5,12.885666207658513,-139.47456682949652,140.06853745895572,-84.721586489672006,34.30232062590008,-0.50657514497651335,-0.50657514497651412,-5.9381609765940135,-39.170606142494186,3.9492492677520956,-5.6329808993596888,0,180,1.8990334342117983,-7.6831967328999866,0.054095510066007539
144,12.580068309548087,-135.27999093049715,135.86365983892929,-84.687183018887112,33.290820605722381,-0.52197592738963028,-0.52197592738963072,-6.1074232323559183,-40.287131137584936,3.9422405589306813,-5.5174720878189465,0,180,1.8943851578682485,-7.5653274888813797,0.056435859085190013
144.5,12.292102658358314,-131.20674982362542,131.78128466152941,-84.647867488696576,32.292725222724712,-0.53811919477512427,-0.53811919477512282,-6.2808177053698975,-41.430913974811354,3.9350090696848259,-5.4003309728685718,0,180,1.8895536793703505,-7.4457863631830472,0.058826853505303957
145,12.020569951616102,-127.24784712059549,127.81435247572215,-84.603522541258044,31.308518332467035,-0.55504671707836262,-0.55504671707836373,-6.4585455851644706,-42.603281784881531,3.9275563428108757,-5.281559426505682,0,180,1.8845404684933655,-7.3245753008231924,0.061269318568460171
