mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
120,28.119137656913189,-29.014513091954765,40.404552621352558,-45.897842750654249,2.5466221264806399,-7.208614002993742,-7.2086140029937429,-16.167184328168538,-106.6455443441056,4.1388274960774485,3.2227741069837332,0,90,3.7715596793762081,2.8555062902824928,1.9575847571031287e-13
121,28.280532767887063,-27.12142013653169,39.183669606837498,-43.801439825618445,2.4447713987502593,-7.5472254207967922,-7.5472254207967904,-16.611915942388819,-109.57918103203018,4.1304304313429121,3.290204773318032,0,180,3.7670677732191971,2.9268421151943169,8.6018010016544686e-13
122,28.469534429631818,-25.282033447951839,38.074868429232254,-41.606299419950048,2.3489623703074822,-7.8982086533081564,-7.8982086533081555,-17.063756787303589,-112.55971319426197,4.1219433781700756,3.3530985323318339,0,180,3.7625432480164012,2.9936984021781594,3.4426490555950987e-13
123,28.685587772864142,-23.492672863990236,37.077872433152848,-39.316491684434041,2.2588384063021922,-8.2618568295192159,-8.2618568295192123,-17.523607038781137,-115.59307876925277,4.1133644085298933,3.4115594358172072,0,180,3.7579848025721874,3.0561798298595013,3.2208537382878596e-13
124,28.928265442935587,-21.749979689249528,36.192625740884125,-36.938008812166267,2.1740703376593449,-8.6384486116871262,-8.6384486116871262,-17.992510028148004,-118.68616000903801,4.1046915505629729,3.4656964402985682,0,180,3.7533911047422541,3.1143959944778494,6.1524092366095356e-13
125,29.197256665716761,-20.050886068148145,35.4191731823542,-34.478892977714281,2.0943552658011368,-9.0282368397997335,-9.0282368397997317,-18.471673536302745,-121.84692394416301,4.0959228036696125,3.5156227676829692,0,180,3.7487608068033804,3.1684607708167372,6.7599355405380161e-13
126,29.492358057090943,-18.392588279406883,34.757538569113791,-31.949278742354203,2.0194155728473353,-9.4314325385670799,-9.4314325385670763,-18.962494065082129,-125.08458248781797,4.0870561407826553,3.5614552518567586,0,0,3.7440925479698288,3.2184916590439321,2.8640525756631681e-13
127,29.813465881281619,-16.772523557338854,34.207605796603623,-29.361328685835385,1.9489981565321925,-9.8481826454778609,-9.8481826454778609,-19.466584189945543,-128.40977286564282,4.0780895028641266,3.6033136781863986,0,270,3.7393849491191009,3.2646091244413729,3.4812221542572268e-13
128,30.160569527838394,-15.188349890066851,33.769008374938515,-26.729048014142176,1.8828739014617102,-10.278539352785321,-10.278539352785319,-19.985802929316613,-131.83475794467176,4.0690207972932084,3.6413201374219701,0,90,3.7346366113658602,3.3069359514946219,7.3385320204698947e-13
129,30.533745907540556,-13.637928362761155,33.44103361402059,-24.067975306350448,1.8208374103740859,-10.722418262156211,-10.722418262156211,-20.522288650671825,-135.37364329572713,4.059847905250483,3.67559840196959,0,270,3.729846123857075,3.345596620576182,1.8032923624546091e-13
130,30.933155011194025,-12.119308034665259,33.222548159129211,-21.39476082069141,1.7627070019369822,-11.179541899880119,-11.179541899880119,-21.078493044457865,-139.04260129966019,4.0505686657561863,3.7062733077482655,0,360,3.7250120478268887,3.3807166898189678,1.4947075731575694e-13
131,31.359035940880371,-10.630712680170353,33.111949311838494,-18.726658039952039,1.7083250137319743,-11.6493640426248,-11.649364042624796,-21.657213907659674,-142.86008740154836,4.0411808889458642,3.7334701852586654,0,270,3.7201329302914194,3.4124222266042206,8.6789471989795746e-15
132,31.811703834066449,-9.1705295166226115,33.107145942252473,-16.080966628697698,1.6575584022320207,-12.130969715822179,-12.130969715822177,-22.261622023944945,-146.84701742342807,4.0316823442009628,3.7573143035610621,0,270,3.7152072923847674,3.4408392517448667,1.774362538458012e-13
133,32.291547271670609,-7.7372995527063262,33.205569255274739,-13.474472017841267,1.6102996455124319,-12.622944933932791,-12.622944933932789,-22.895274770413362,-151.02685732013302,4.0220707630309889,3.7779303616357112,0,270,3.7102336325363536,3.4660932311410759,9.1611109322561308e-14
134,32.799026256730123,-6.329709497226907,33.404211496590612,-10.922927411768907,1.5664678988757761,-13.123210652427947,-13.123210652427943,-23.562104455051145,-155.42554624824152,4.0123438318678675,3.7954420092866665,0,270,3.7052104195411015,3.4883085969599006,4.0598186341891488e-13
