mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
140,28.75236162204029,-13.195194394020609,31.635604213300056,-24.651601143234636,1.9121851586910479,-10.082719645795816,-10.082719645795814,-21.018550264269066,-138.64719352221587,10.766966824798587,10.3184864841982,0,0,-10.190352467517783,-10.63883280811817,17.170695294888883
140.5,29.519919470544753,-9.9219996573633136,31.142763569538349,-18.578115310783083,1.793208322229418,-10.934321304339447,-10.934321304339447,-22.290713457383113,-147.03891674812112,10.84715480745289,10.481995631594462,0,360,-11.546063136350476,-11.911222312208904,17.336049434313132
141,30.404591510136875,-6.6382597486643391,31.120823854599742,-12.316165442206803,1.689770789865527,-11.820209477372687,-11.820209477372686,-23.734946830137126,-156.56568721543869,10.919318797781887,10.62389123613127,0,360,-13.158140063942431,-13.453567625593049,17.264395292653404
141.5,31.433849909919111,-3.3639901871306379,31.613341331444751,-6.1084352682196412,1.6024903902505296,-12.708780205180723,-12.708780205180719,-25.372020789562871,-167.36451526061234,10.983233641215534,10.744005202002239,0,0,-15.144831844946365,-15.384060284159661,16.999890831558766
142,32.637227787139956,-0.12969885712654125,32.637485494798774,-0.22768962029674508,1.5320108228330971,-13.550901806986296,-13.550901806986296,-27.209012749933787,-179.48208648346082,11.038596443232681,10.842503536184523,0,0,-17.727649586781219,-17.923742493829376,16.604651202542961
142.5,34.044896460637794,3.0199807120629902,34.178578942325565,5.0692012693963342,1.4785800976618835,-14.284966482378529,-14.284966482378527,25.35070956976924,167.22393749583927,11.08510036038231,10.920089672619927,0,0,-21.409290826039285,-21.574301513801668,16.139512308301892
143,35.684627442174303,6.0214027848837111,36.189085746735643,9.5778326500685633,1.4414137498790134,-14.855910580171585,-14.855910580171585,23.219770500800557,153.16736757238425,11.122511504728612,10.978170300267424,0,360,-27.857483514176341,-28.001824718637529,15.653640364190323
143.5,37.575778554652786,8.785708137665365,38.589218720628999,13.160087179006464,1.4180510051812274,-15.244723708160045,-15.244723708160041,21.072852101188001,139.00539126645853,11.150740422333197,11.018949707824408,0,0,-48.49191971117348,-48.623710425682269,15.182818351972783
144,39.71807083431915,11.192050119629359,41.264841411064324,15.737165124786552,1.4041199258412487,-15.488917267301606,-15.488917267301602,19.019766752782253,125.46237721272797,11.169912612796971,11.045431990918484,0,360,-26.643990917227924,-26.768471539106411,14.752151326634415
144.5,42.071892384083519,13.082479458236691,44.058999053009472,17.273360427775209,1.3937547425415782,-15.677077081925912,-15.67707708192591,17.150097144550312,113.12925048724615,11.180406398626044,11.061276858748476,0,0,-21.094353497758579,-21.213483037636149,14.379816570081394
145,44.526606475882161,14.265095583555118,46.755872746276857,17.764024298103074,1.3804660637885391,-15.926921383594976,-15.926921383594976,15.525022338575514,102.40957390255376,11.182883617840513,11.070500988896415,0,0,-17.858336710448203,-17.9707193393923,14.080521156288295
145.5,46.85616070629392,14.53797836216574,49.059684171352366,17.23745650427874,1.3581205445975595,-16.370735314761099,-16.370735314761095,14.199524122049791,93.666030440738098,11.17824057403107,11.076903636758759,0,0,-15.627307908673973,-15.728644845946285,13.868326111698448
146,48.673958528084135,13.755321397464227,50.580263992403118,15.780358119095574,1.3220894788671624,-17.158048240308112,-17.158048240308108,13.275446723482332,87.570427447296154,11.167526147645894,11.083155537792276,0,0,-13.976122192461499,-14.060492802315117,13.759268601303154
146.5,49.426218982448113,11.952408941546937,50.850872189244555,13.594467451370949,1.2714159881738509,-18.453225030762319,-18.453225030762315,13.021236329462999,85.893548820948965,11.151723254892884,11.089266284474375,0,360,-12.713610162765963,-12.776067133184473,13.774174332116807
147,48.495968584909498,9.5050632414490117,49.418672546037435,11.089228740041474,1.2154550482292503,-20.242125365701455,-20.242125365701455,14.17125292707671,93.479541753780424,11.131360881299431,11.090090960378904,0,0,-11.737462300306944,-11.778732221227472,13.942513122551549
147.5,45.46801155771638,7.2047687669896812,46.035299151829349,9.0041097403503585,1.1951581750684763,-21.021581420448673,-21.021581420448669,17.866532448333295,117.85515893292083,11.105905558934822,11.071442949335841,0,0,-10.984683866278566,-11.019146475877546,14.308893800136675
148,40.448002060470778,6.0770359388930899,40.901971058696503,8.5443909986798605,1.2854196475119637,-18.069641823728084,-18.069641823728084,21.78324259499826,143.69142560437808,11.072688134948834,11.00441825306987,0,360,-10.408835884989966,-10.477105766868929,14.945245611841942
148.5,34.151957271222045,6.9461614607915001,34.851188566457267,11.496564080028159,1.5154848004468287,-13.768116665258445,-13.768116665258443,22.984222869645382,151.61359637551971,11.025272140244004,10.838953953401656,0,0,-9.9635863042824724,-10.14990449112482,15.977778987493974
149,27.603706211931666,10.0651347702004,29.381482851907457,20.033364266097482,1.9144951476896515,-10.067638623031721,-10.067638623031721,22.498623279408164,148.41037733731696,10.950871969121938,10.500747849927247,0,0,-9.5861287805032784,-10.036252899697969,17.656519113274499
149.5,21.681174290439813,15.116670304403534,26.4307971825381,34.885196553439847,2.559930653104681,-7.166724917870539,-7.1667249178705372,21.223343344465853,139.99809477206676,10.826762923972147,9.9008140830206859,0,0,-9.1791411776966338,-10.105090018648095,20.590866355627433
150,16.86684852296003,21.504688041309176,27.330243080706488,51.891719525367854,3.5699734344579062,-4.9997008279502921,-4.9997008279502912,19.584386930102411,129.18684926275964,10.615968583604792,8.9649448306851216,0,360,-8.6096651702942868,-10.260688923213957,27.093874969316314
