mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
140,29.903001175252694,-12.190674782846184,32.292445416045624,-22.179442676407248,1.820112955435996,-10.727856622574318,-10.727856622574318,-21.236474063920177,-140.08471051760489,13.625963121229081,13.242216370267695,0,0,-10.368850526393665,-10.752597277355051,16.643701222094016
140.5,30.642187588061915,-9.1920018608814065,31.991195013509934,-16.6981216137494,1.7174810769619284,-11.567121544474684,-11.567121544474684,-22.451060477889282,-148.09663310359321,13.708984383404129,13.395173332486417,0,0,-11.544230285009355,-11.858041335927068,17.377157065625489
141,31.44571723383207,-6.1872345668570752,32.048634977724625,-11.131279948697832,1.6296904282389924,-12.415550676754773,-12.415550676754773,-23.833214005450397,-157.21389881429963,13.784312605176488,13.527871154480561,0,0,-12.897314035118246,-13.153755485814173,17.830720488800736
141.5,32.338025973464866,-3.1860553658491471,32.494597591826626,-5.6268210893057695,1.5569066178825162,-13.23864976907389,-13.238649769073888,-25.401413483210334,-167.55840182429259,13.851733823607438,13.640662039310937,0,0,-14.494376169704736,-14.705447954001237,17.94047148773528
142,33.346575181078443,-0.20731599408438803,33.347219617664074,-0.35620384965147184,1.4994507817228784,-13.987037839912229,-13.987037839912226,-27.157798112975094,-179.14425320798262,13.910919712753401,13.733949991553192,0,0,-16.44125044873131,-16.618220169931519,17.715937444506601
142.5,34.501166467424504,2.7178295048694943,34.608049422503953,4.5041737068227699,1.4573588212932935,-14.604230329041153,-14.604230329041151,25.500455602677686,168.21172528057227,13.961316869691508,13.808210195717606,0,360,-18.919586550615154,-19.072693224589056,17.23611662735107
143,35.83061068686947,5.5422765906899665,36.256716508830671,8.7928240792165298,1.4298276818972129,-15.045621876864104,-15.045621876864102,23.488912181340936,154.94273924158125,14.00250947813891,13.864436890885447,0,360,-22.268010196041832,-22.406082783295293,16.606622796307423
143.5,37.359514210189303,8.1971587690470482,38.248224977197324,12.375328300763648,1.4145901671445875,-15.304488600809718,-15.304488600809718,21.477816786455342,141.67670857340772,14.034103400378941,13.904141108561003,0,360,-27.002935809781601,-27.13289810159954,15.919617031206633
144,39.099649396928548,10.586907297536598,40.507594215027986,15.150544203168865,1.4077605019625585,-15.424162611943689,-15.424162611943689,19.565091330614173,129.05956737686662,14.056046785562685,13.929668741582226,0,0,-30.278055828322433,-30.404433872302892,15.239956896620859
144.5,41.03615217396667,12.58162476540217,42.92159208349954,17.045463605815542,1.4041224054820935,-15.488872930420918,-15.488872930420916,17.827772328963857,117.59948089121049,14.068523460693889,13.944041549605146,0,360,-25.817495618062416,-25.94197752915116,14.608628801957162
145,43.103422046201587,14.01630367777739,45.325067687546294,18.013408416622102,1.3978311616436279,-15.602396039847164,-15.602396039847166,16.317590390134011,107.63768595796807,14.072073408017314,13.950848502672764,0,0,-21.667830247920556,-21.789055153265107,14.051033131101061
145.5,45.148043765529302,14.700735809017765,47.481127715974552,18.035860659081084,1.383204154158326,-15.874620775718711,-15.874620775718709,15.081274823440506,99.48242874590062,14.067685166185376,13.953922980741131,0,360,-18.794717560681992,-18.908479746126236,13.584364121246599
146,46.881534193276408,14.458130689364888,49.060328080294163,17.139612491105325,1.3556984302206216,-16.42075487974402,-16.420754879744017,14.202206976678317,93.683727677711929,14.056617471956688,13.956454466294437,0,360,-16.697916891716936,-16.798079897379186,13.223090420406937
146.5,47.846945903182437,13.218687309079826,49.639338497176759,15.443891760606405,1.3138604615429166,-17.352011120257899,-17.352011120257899,13.879838345981517,91.557248669229025,14.040164469320363,13.959513515785643,0,0,-15.094961676157073,-15.175612629691793,12.982419000447846
147,47.450674863894399,11.168430628069951,48.747311594928298,13.244599788255298,1.2644652503808897,-18.651940897943632,-18.651940897943632,14.601892519988642,96.320221545016508,14.019415415233741,13.959771104516767,0,360,-13.832498438567317,-13.892142749284291,12.882186568268423
147.5,45.148765025291674,8.8933825489641674,46.016336625933413,11.143432248077682,1.2371562598589521,-19.493234539919637,-19.493234539919634,17.171756673276722,113.2721258441653,13.994729983595505,13.945649075260503,0,360,-12.818552554630195,-12.867633462965197,12.951399104809038
148,40.770747356628561,7.3520001152961276,41.428320575583911,10.222029986182756,1.2977131370917341,-17.749956165426944,-17.749956165426944,20.742868426392338,136.82868022581445,13.964363394713217,13.890834173059519,0,0,-11.991181620354155,-12.064710842007853,13.234240007819583
148.5,34.781349088773297,7.5302402240461008,35.587171315896306,12.216124217101816,1.4984122289501969,-14.001508148255828,-14.001508148255827,22.527062244261987,148.59797270493672,13.923039551655222,13.746670613433407,0,0,-11.302203949526973,-11.478572887748788,13.803510368431972
149,28.154638054011791,9.9595779056987155,29.864307057289825,19.481006608455051,1.87657711032801,-10.321717888220745,-10.321717888220743,22.471104766183426,148.22885365559091,13.859504954540176,13.436248607956376,0,0,-10.707019178003403,-11.130275524587203,14.788374231001391
149.5,21.914095200162159,14.512570480533121,26.283878526469632,33.514446355029236,2.5144329183029877,-7.3121043417762692,-7.3121043417762674,21.415306379616727,141.26436365117783,13.752144454672308,12.860039742306654,0,360,-10.158024576895492,-11.050129289261147,16.444390938318293
150,16.722586856368498,20.61865857255421,26.547579786118952,50.956514758949858,3.5512801042535385,-5.0275084458015327,-5.0275084458015318,19.866145582071834,131.04544777954567,13.564320788704563,11.926098693170212,0,0,-9.6026156808554823,-11.240837776389833,19.372969624791505
