mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
14,12.295430142337544,-0.42951983492445739,12.302930125530917,-2.0007165357591665,4.0668709130711882,-4.3608868695632763,-4.3608868695632772,-27.128696887227658,-178.95228928910103,7.5637611695725679,5.5821681580622107,0,270,6.9067460763046684,4.9251530647943111,1.7936490877890771e-13
15,14.805722530215055,8.0751179480410418,16.864665710191005,28.60828030070698,3.4733661332077772,-5.1469207121614193,-5.1469207121614176,24.251753209076988,159.97475935093226,7.5942553875817822,6.0096720453361279,0,270,6.9180889659668807,5.3335056237212264,1.3886315518367112e-13
16,17.723802644945565,16.190184916438511,24.00531749061971,42.41080281651756,3.154298805062155,-5.7038358028673555,-5.7038358028673546,21.210916661998471,139.91612315046436,7.6276114291445873,6.2672850427616931,0,210,6.9304833177591476,5.5701569313762533,1.2921988051813856e-13
17,21.112037055890422,23.976446165365655,31.946644258356272,48.635036846549013,3.0020409761635412,-6.0161713792056881,-6.0161713792056881,18.445718577566247,121.6757141251434,7.663900241043379,6.4130356928535672,0,270,6.9439182111488549,5.6930536629590431,4.8119940581006358e-13
18,25.040732831947828,31.462850600362163,40.211307721357429,51.484331074487926,2.9491174040390695,-6.133240914979817,-6.133240914979817,16.020438776284873,105.67754899358296,7.7031877275605609,6.4907073589715321,0,30,6.9583759937505665,5.7458956251615376,5.4966665593533887e-13
19,29.587464655674172,38.646969069393286,48.672438638323946,52.562943577119768,2.9525755813265873,-6.1254465901455388,-6.1254465901455379,13.938058685109297,91.941294501338618,7.7455333927822618,6.5305398773072891,0,210,6.9738309405566623,5.7588374250816905,8.8139530442961496e-13
20,34.835136266309782,45.49289355383462,57.298255493451968,52.557744684765787,2.9852864098997034,-6.0527273709951253,-6.0527273709951253,12.163131516511898,80.233128736418749,7.7909891550218457,6.552258342857888,0,30,6.9902479147056118,5.7515171025416532,1.4239259371102493e-11
21,40.868028364771632,51.9271275734827,66.080423125586336,51.796314845491473,3.0303987765516069,-5.9553335052382952,-5.9553335052382952,10.646385107013696,70.22803179501291,7.8395983163249738,6.5682356830459856,0,150,7.0075809974495495,5.7362183641705613,4.9952162767457401e-13
22,47.764824814307602,57.833128282725816,75.007661052106641,50.446437927685736,3.0776422698551493,-5.8567670025943253,-5.8567670025943261,9.3394166724469869,61.606718564725767,7.8913945337402449,6.5859933763862006,0,270,7.0257719195384638,5.7203707621844195,4.0810338384515936e-12
23,55.587378999543596,63.045612497003937,84.051805210603774,48.597343712730819,3.120902773021657,-5.7694321627666607,-5.7694321627666598,8.2005458034078398,54.094247543120041,7.946401063627925,6.6099560064239125,0,210,7.0447485589233363,5.7083035017193247,1.3211286291778026e-12
24,64.363971783974861,67.346582420945381,93.157302599364158,46.297252144163103,3.1566701638140611,-5.6992366793217677,-5.6992366793217659,7.1958962110823199,47.467156487940855,8.0046298471187818,6.6426105316965387,0,330,7.0644230624909881,5.702403747068745,1.6972163411337522e-13
25,74.06630590380577,70.466252367613109,102.23165064192338,43.573157254824743,3.1830571815773863,-5.6485737971485284,-5.6485737971485275,6.2985773810787684,41.548064261769319,8.0660802541207666,6.6852485456801709,0,150,7.0846894093820474,5.7038577009414517,1.0472596286767434e-12
26,84.580937244629695,72.09345597961638,111.13685860354732,40.442965200639897,3.1991808685259637,-5.6180726470416262,-5.6180726470416253,5.4873711617883361,36.197007016704042,8.1307383229579777,6.7384345538880641,0,330,7.1054212509727419,5.7131174819028283,3.4426490555950987e-13
27,95.678812647734276,71.901011769937412,119.68371101875525,36.924243573703691,3.2047711474864795,-5.6075769315139912,-5.6075769315139912,4.7454700087099235,31.303115123499541,8.1985749578480664,6.8022978215257384,0,90,7.126468494736212,5.7301913584138839,2.0250876797618557e-13
