mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
45,7.5413791598632862,11.09386042153591,13.414400422133715,55.792936829892838,6.9637087923258552,-2.5119788430556338,-2.5119788430556329,23.413327950205325,154.4441538781891,6.2441467169900964,2.6708452283220794,20,260,5.8543055153300454,2.2810040266620284,0.00012972559443614291
45.5,8.775553534146864,12.641737890399234,15.389083037017937,55.23266124234182,6.0727106490150389,-2.8869160101012135,-2.8869160101012135,22.862851024097207,150.81297665882721,6.275886267839951,3.1385942444137322,20,80,5.8658016066390211,2.7285095832128023,4.0407394633375214e-05
46,10.355062600959641,14.281562345574546,17.640587986241439,54.055442882168506,5.2387093275394285,-3.3572223203093388,-3.3572223203093388,22.266064853434273,146.87632419445879,6.3059636324230137,3.6169115352260892,20,80,5.8747520345694682,3.1856999373725436,0.00019616330824228875
46.5,12.400581013726812,15.984372815247584,20.230535924063599,52.195903591485774,4.4683628953742192,-3.9546559265297878,-3.9546559265297887,21.617898078245766,142.60074366276999,6.3705002528219588,4.1354379782747879,15,80,5.8811083181399031,3.6460460435927322,0.00023495385571360695
47,15.076108530181353,17.674231151395158,23.230744611543429,49.535841548019647,3.766964074681924,-4.7247671703105221,-4.724767170310523,20.914734918280399,137.96238385718701,6.4461710148436291,4.6618481327080818,15,80,5.8848341074482473,4.1005112253127001,0.00036346381474202299
47.5,18.592713823911254,19.182568908635329,26.714414784389408,45.894591859422995,3.1382539897875299,-5.7351570276507751,-5.7351570276507733,20.156480430638961,132.96061849443367,6.520879463959611,5.1720174248009352,15,80,5.885894632836834,4.5370325936781581,0.00048212263930676636
48,23.184402148024041,20.168252268225395,30.729056323227379,41.020205803297564,2.5842389881075114,-7.0915252511734073,-7.0915252511734064,19.35074284381626,127.64563464808155,6.594618702969016,5.6506061671521923,15,80,5.8842565141159007,4.940243978299077,0.00059100567207787374
48.5,29.000304139032863,20.003337580550518,35.229975227324118,34.596476288362645,2.105022992241345,-8.9738701184049425,-8.9738701184049425,18.522622314644355,122.1830035044388,6.6673869527787142,6.0792588958794234,15,80,5.8798884297773881,5.2917603728780973,0.00068982234262270027
49,35.812218965921915,17.702160392117619,39.948485701105056,26.303419340560602,1.698754741404497,-11.736773010731394,-11.736773010731396,17.745257196769039,117.05517639075336,6.7391837797855016,6.4378221451294619,15,80,5.8727584059385833,5.5713967712825436,0.0007779888285096969
49.5,42.507167453130997,12.184042804520693,44.218889447281597,15.994156783705671,1.3621055169839911,-16.289283045042442,-16.289283045042442,17.295307114914216,114.08711649652201,6.809998522953439,6.7067200767019353,15,80,5.8628227160961508,5.7595442698446471,0.00085469028781147579
50,46.86206492919893,3.2765498003640277,46.976471855842071,3.9995559032876797,1.0982193366246991,-26.59307776960479,-26.593077769604786,19.984270235969202,131.82464765502399,6.8798323237812955,6.8703053977440653,15,80,5.8500485559041344,5.8405216298669043,0.00091892273042529389
50.5,46.736078900897731,-7.133573861132958,47.2773618877278,-8.6783753593376822,1.1759835001218117,-21.843672936116384,-21.843672936116384,-16.73159772790093,-110.36865240224121,6.948691037163397,6.920191275606653,15,80,5.8344023001102876,5.8059025385535437,0.00096948691295349197
51,42.17333594719998,-15.933647949437072,45.082939144336969,-20.697232655970279,1.4684661871457483,-14.434978654519286,-14.434978654519286,-16.122814079871784,-106.35285953355104,7.0165661023350818,6.8572618715514491,15,80,5.8158381549446965,5.6565339241610637,0.0010050070823760823
51.5,35.361216288042179,-21.30218655751678,41.281942414340776,-31.065460951249275,1.8320101990448685,-10.639323260436658,-10.639323260436653,-16.74916665364389,-110.48454442223475,7.0834554570995465,6.6914379802238244,15,80,5.7943132384755627,5.4022957615998406,0.0010238898073835678
52,28.507504487260402,-23.46979673810069,36.925725057457349,-39.464109431389396,2.2699902596308874,-8.2149213787332602,-8.2149213787332602,-17.560723173865277,-115.83791239950347,7.1493529780022378,6.4392636475269267,15,80,5.769778584510493,5.059689254035181,0.0010243021868500161
