mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
45,12.941186606565324,21.236469178016765,24.868894907791979,58.642495319574138,4.60214753445561,-3.8358609105429298,-3.835860910542928,19.941231338866988,131.54074499663477,6.3671235594990296,4.0502380047255251,20,80,5.7915530294738273,3.4746674747003223,0.00041728211621557242
45.5,15.2622885765542,23.009231861238806,27.610907327327435,56.443224893431037,4.0267219662973313,-4.4062467186659351,-4.4062467186659351,19.261931093755205,127.0597950091463,6.4077717240446583,4.4521907843352846,20,80,5.8060472891175552,3.8504663494081819,0.00044008911369133907
46,18.143040358003475,24.725956967861329,30.66827124910488,53.730084375120938,3.5075900862233236,-5.0937574173752163,-5.0937574173752154,18.531184224008715,122.23948145794341,6.4468093850062118,4.8386093364984983,20,80,5.8180473165214863,4.2098472680137728,0.00046225175163705105
46.5,21.717106284068795,26.250166912661893,34.069105774824052,50.398601012545733,3.0425964596494444,-5.9295563299115139,-5.9295563299115139,17.741575663931751,117.03089145248063,6.484240296060392,5.2040759387744329,20,80,5.8275325697260039,4.5473682124400447,0.00048306229848648594
47,26.117521960735871,27.35071909847996,37.81781046773434,46.32124163864912,2.6292854398132253,-6.9564789990251263,-6.9564789990251246,16.882303036831829,111.36276797488794,6.5350209780919197,5.5575757279414013,15,80,5.8344816539695987,4.8570364038190803,0.00041518068096616856
47.5,31.427314817496068,27.661207693161479,41.866675622530906,41.353089410512212,2.2649331380911604,-8.2361344343424108,-8.2361344343424108,15.935297900710017,105.11592398595599,6.6175121817917057,5.9111801171883718,15,80,5.8388723339928124,5.1325402693894784,0.00043190401146464644
48,37.576335999341609,26.656045083528824,46.07087764120125,35.351273144293863,1.9466305953951981,-9.8629031400965399,-9.8629031400965381,14.865641495626264,98.060020665638078,6.6992776230526649,6.2261991078502046,15,80,5.8406816682888056,5.3676031530863462,0.00044532142189466947
48.5,44.175000786888759,23.704984748923916,50.133392030345782,28.218690988338622,1.6715094444193197,-11.9940917737903,-11.9940917737903,13.594821861958007,89.677160122655636,6.7803375535462083,6.4968915377229228,15,80,5.8398845182128847,5.5564385023895992,0.00045427019293540057
49,50.35135625806533,18.304147974358628,53.57518931458695,19.977642902990077,1.4374581719997017,-14.920012757632648,-14.920012757632648,11.909970381099217,78.563171460938378,6.8607013577587601,6.7185099984565664,15,80,5.8364422979430213,5.6942509386408275,0.00045735444148888038
49.5,54.806192652507427,10.507387370853506,55.804336233172158,10.852995743770339,1.2464229424090372,-19.196207738159757,-19.196207738159753,9.0496126263734737,59.69504924622948,6.9403831378742442,6.8878068767789813,15,80,5.8303181587812869,5.777741897686024,0.00045283971232997682
50,56.31952092492007,1.2787240030925842,56.334035647098766,1.3006662977084944,1.1291073229188453,-24.34493355384766,-24.34493355384766,1.6296711920628539,10.749996279601937,7.0194027145192557,7.0034037949048979,15,80,5.8214793261582143,5.8054804065438566,0.00043848303674590068
50.5,54.498769732490551,-7.7425168116996588,55.046003205813953,-8.0857723561829271,1.1868847353496075,-21.365041266090898,-21.365041266090895,-8.4294151946235747,-55.603966261881695,7.0977722704333788,7.0659397638297881,15,80,5.8098798334756463,5.7780473268720556,0.00041127498038479965
51,50.041837856313897,-15.074202068256831,52.262961110448465,-16.763981380053266,1.3501696927308449,-16.536413326347478,-16.536413326347478,-12.320647407567478,-81.272169771857492,7.1754996162369906,7.0779986529854844,15,80,5.7954684200594855,5.6979674568079792,0.00036706130589355291
