mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
5,68.499796713671188,-91.060025197177481,113.94801594904966,-53.047728587955767,4.2877084087192028,-4.1274841101015154,-4.1274841101015145,-6.2118430824120052,-40.9759283655697,3.3590830499776909,1.2365854340534734,-80,100,0.097134509925751678,-2.0253631059984656,0.1440471763462905
5.5,112.6385164282712,-15.970143139253903,113.76502474420765,-8.0697386250471048,2.3088350150010397,-8.0558041569937355,-8.0558041569937355,-1.3181576886022663,-8.6951222537512507,3.461194004082377,2.7222206604562191,-70,100,0.31942166595095856,-0.41955167767519941,0.25085269035009761
6,196.80736179903764,45.384202278881432,201.97243246242226,12.985527882900675,4.1590788148070903,-4.2602340298959058,-4.2602340298959058,1.0246604567426827,6.7590911292332798,3.5819347510849529,1.5410629157982072,-50,100,0.65904858748880479,-1.3818232477979409,0.49290369070602186
6.5,336.2257446522284,27.384541113716164,337.3390941752146,4.6562852084745359,6.7701244466311383,-2.5848558934312886,-2.5848558934312886,0.21367125798709563,1.4094654428490097,3.721830788255728,0.23983772928354519,-30,100,1.1595335876130279,-2.3224594713591546,0.85045771182659058
7,375.84889876173412,-150.28484485950253,404.78133516116208,-21.794218692830547,8.7374008487129036,-1.9969590342750805,-1.9969590342750809,-0.8067052092135949,-5.3213666904208106,3.9022211507634545,-0.43221730132145586,-40,110,1.8622428928127355,-2.4721955592721749,2.0792087823266407
7.5,219.9931866240785,-223.84651200240373,313.85388813372839,-45.497417725684095,9.0722640480992016,-1.9226348594196252,-1.922634859419625,-1.9896809056107148,-13.124771694488695,4.2186785988255151,-0.24610671799394801,-10,110,2.7723538549261901,-1.692431461893273,3.7186829572029003
8,111.34046549786402,-160.56823369129469,195.39410668703206,-55.261969966787056,7.1675941575887672,-2.4395672287254238,-2.4395672287254264,-3.6731333597254396,-24.229531787665863,4.7311352092043277,1.0635861943093308,-10,120,3.7924089566504398,0.12485994175544279,7.03002380247153
8.5,66.466042118997947,-79.418339494202712,103.56161162796207,-50.07368358223593,3.709931154414055,-4.801126024939836,-4.8011260249398378,-6.6697579360715222,-43.996527242931712,5.21267309270418,3.4666403295005201,-20,130,4.6737584370959064,2.9277256738922466,7.2544960449846396
9,50.824259672036391,-5.3874477028825618,51.109000811617115,-6.0508429505274917,1.1141175445091915,-25.355534240939015,-25.355534240939015,-11.861398905358664,-78.242773588012383,5.5298246733824383,5.5171521132362304,-10,230,5.1086943008107797,5.0960217406645718,6.2150455055010978
9.5,48.020800883355086,62.092328143563911,78.494933159834304,52.282445128133702,3.3047845379302458,-5.426421747795489,-5.4264217477954881,9.0159562492752112,59.473037634099768,5.1927779781319119,3.7257810092876555,0,230,4.9030927217846614,3.436095752940405,4.9385480534917932
10,50.588329356421056,128.73419870560994,138.31729097784267,68.546796632442792,8.4334656447200409,-2.0695986712680208,-2.069598671268019,5.7214302233668182,37.740958982861613,4.4702283865200068,0.25746365768731483,60,360,3.7207783250905924,-0.49198640374209957,3.3871990160482932
