mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
10,3.847039093242818,-259.76590871202535,259.79439377855948,-89.151532263712596,363.8777601441567,-0.047740820990882338,-0.047740820990882726,-3.3026559122005139,-21.785706798940303,2.6089017719654888,-17.003891052566367,10,0,2.3931364109865023,-17.219656413545351,0
10.5,4.1703923314640416,-218.84722352588605,218.88695579496616,-88.908293376729446,241.75488963922894,-0.071857402263901332,-0.071857402263901166,-3.9006549619579056,-25.730359923697456,2.68731155474071,-15.161695591913912,10,0,2.4751598643677175,-15.373847282286903,0
11,4.5093494175446569,-180.31080422936697,180.36718203157307,-88.567402280603616,155.36994783528726,-0.111810677684784,-0.11181067768478412,-4.6965093296963412,-30.980149902167643,2.7581743256256743,-13.190621387548166,10,0,2.5494392331610269,-13.399356480012813,0
11.5,4.8643893134335547,-143.84448492314513,143.92671095456041,-88.063166562581046,95.437877900321723,-0.18202851365815725,-0.18202851365815692,-5.8059411184565777,-38.298428374371674,2.8223276119800027,-11.044817638807283,10,0,2.6168192925743949,-11.25032595821289,0
12,5.2351540960964691,-109.19160423675787,109.31703103454025,-87.255075411141561,55.186418029290806,-0.31481805861261419,-0.31481805861261475,-7.447186368591872,-49.124772006632611,2.8811773280183055,-8.6725276160117275,10,0,2.6787123344606636,-8.8749926095693681,0
12.5,5.6226834028893391,-76.129625617409246,76.336979671035067,-85.77599168514547,29.586700242026353,-0.58737198382431399,-0.58737198382431433,-10.064807774738702,-66.391703222288243,2.9348120455836,-6.0442752623759581,10,0,2.7352124774496254,-6.2438748305099327,0
13,6.0268140920057345,-44.476931930473356,44.883404082662437,-82.283178851789401,14.91439825214121,-1.1665158505872255,-1.1665158505872246,-14.58811773236584,-96.229357255079591,2.9842210811132719,-3.294926087417331,10,0,2.7873139607627166,-3.4918332077678862,0
13.5,6.448394045876209,-14.070221952022239,15.477497586821334,-65.377975423018412,8.3774858071771305,-2.0835606568498717,-2.0835606568498726,-22.451521554918731,-148.09967456151145,3.0295832692286044,-1.1604081204399428,10,0,2.8351998778747491,-1.3547915117937981,0
14,6.887615895545129,15.222738522202089,16.708411679148362,65.655351616472743,7.9441738750106889,-2.1983929345621811,-2.1983929345621807,22.068210722093291,145.57119516832245,3.0714745201938491,-0.93824282254584457,10,0,2.8794499366256607,-1.130267406114033,0
14.5,7.3485101666676149,43.519786506522031,44.135840529470769,80.415757625868949,12.022603473399151,-1.448272649519625,-1.4482726495196259,14.739674285458918,97.229087992074199,3.1081402477787581,-2.3652309410974652,10,0,2.9183128722152141,-2.5550583166610092,0
15,7.8248663928215398,70.92241612669801,71.352768995421769,83.704023631970969,19.351127926694442,-0.89851443088230942,-0.89851443088230987,10.601165632125159,69.929745128852986,3.1439765756730811,-4.1401303564561642,10,0,2.9561877801148642,-4.3279191520143812,0
