mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
300,16.85693453849581,-33.759814649136118,37.734352083733448,-63.466148088490741,4.4297643096251926,-3.9903340358984614,-3.9903340358984623,-16.324014133696274,-107.68005967097946,4.1266311314694821,1.9154176714807716,0,90,-6.6547449050385357,-8.8659583650272467,5.0223424409871811
320,27.665979891727293,71.119757696210883,76.311377776431257,68.74368900911557,5.8460277740048809,-3.0010551567939099,-3.0010551567939081,9.8467519139334172,64.953315096009206,4.9153902377593672,1.8958257599370993,0,90,-7.4160936241024,-10.435658101924668,6.0728450880402871
340,62.873453808995414,224.15619870460321,232.80694279073688,74.331751024600237,17.980317454078207,-0.96715333234228718,-0.9671533323422864,3.553522861400892,23.440530657712387,6.7465263889620184,-0.25096958395170699,0,90,-6.8360864087196669,-13.833582381633391,8.2544346092743606
360,290.71338212665279,578.58066416526083,647.5105060873002,63.322322145463268,28.981693641992422,-0.59964329507782443,-0.59964329507782599,1.1981604770496144,7.9035702007749942,8.9548150957033243,0.059529379133991256,0,90,-5.1471561158150632,-14.042441832384396,11.132074580850436
380,1223.5170750975337,-642.7081640697819,1382.0520312988124,-27.712749343635579,31.231423972968383,-0.55641777873224696,-0.55641777873224785,-0.29253907398560453,-1.9297107123816388,10.838208571025191,1.6391364861082902,0,90,-3.2469582933626602,-12.446030378279561,14.29383779345487
400,215.67086591479963,-465.81537428890158,513.32045091575003,-65.156030769175956,24.626413860375557,-0.70580056903729804,-0.70580056903729982,-1.5340599831031152,-10.119304551349435,12.052658134909702,3.8135130733709417,0,90,-1.8440759115008936,-10.083220973039655,17.514269139452765
420,112.43718424964513,-269.98132735759339,292.45860822303837,-67.390087702172679,15.594759226764333,-1.1154804178372271,-1.1154804178372266,-2.7305870980714184,-18.012100409187738,12.677184692870917,6.2281522329741348,0,90,-1.0348973857719219,-7.4839298456687038,20.707578891254741
440,92.113362766245928,-173.25828203788242,196.22258762646169,-62.002500780310413,8.7890132455409677,-1.9851294755405202,-1.9851294755405202,-3.8957798391866802,-25.698201564447739,12.955482542779952,8.6007053227905406,0,90,-0.62044507138516014,-4.9752222913745721,23.858121182790072
460,92.418946371675958,-112.03552271296553,145.23505085900626,-50.480521333883075,4.9016998014370019,-3.5944652635117373,-3.5944652635117356,-4.7103629960974178,-31.071534509685868,13.077567372225381,10.582092090429306,0,90,-0.41047632626675074,-2.9059516080628258,26.977834019283012
480,102.68603953996018,-67.744051076257136,123.01901955642795,-33.413641387044763,3.1132795363729646,-5.7846255462202656,-5.7846255462202638,-4.2751985068850615,-28.201006600233022,13.144987013781229,11.814003598580108,0,90,-0.2938128828759245,-1.6247962980770454,30.073398357848468
500,120.56096691753238,-33.971533398136536,125.25578559695772,-15.736714905380492,2.6383753461822246,-6.9298819202789357,-6.9298819202789339,-2.1896677544990863,-14.4439690221398,13.204644856982203,12.220460567280213,0,90,-0.21541244486461264,-1.1995967345666014,33.083591499787843
520,145.83705582098693,-9.1242285022049323,146.12220363892035,-3.5800179152925113,2.9296713571536226,-6.1774576172211653,-6.1774576172211653,-0.42006954845396954,-2.7709553344550208,13.278247677736804,12.079912014587219,0,90,-0.1495251557541161,-1.3478608189037022,35.716597927584736
540,178.61016180025703,5.3911929171446138,178.69150751891894,1.7288985127852561,3.5757342433842405,-4.9911948220625275,-4.9911948220625266,0.15909285806591136,1.0494433727793504,13.37786821821612,11.722904609566346,0,90,-0.084267615773732679,-1.7392312244235082,37.251919803673736
560,217.68939529783242,5.5795794020346463,217.76088843371195,1.4682220646213286,4.3568072782530898,-4.0595922779062574,-4.0595922779062557,0.10788363668597563,0.71164582073525129,13.513344194928925,11.347507162265897,0,90,-0.01373434820491401,-2.1795713808679413,37.069900504695987
580,258.17034728548418,-14.331218655256714,258.56780937628776,-3.1772684203535886,5.1799356527994114,-3.3962871390566662,-3.3962871390566662,-0.19338721655820443,-1.2756633783847922,13.696067506079912,11.040232005016081,0,90,0.066324819459201503,-2.5895106816046289,35.601786038557975
600,288.6189873607417,-58.486393553498488,294.48527653523644,-11.455423903465846,6.0164436329180893,-2.9144220789895101,-2.9144220789895088,-0.60221159843707406,-3.9724408667598254,13.941574158344459,10.833231781333271,0,90,0.16148570723400588,-2.9468566697771807,33.584062403671446
620,291.66659987574411,-121.91292412468475,316.1204937230558,-22.684306370837341,6.8785419537385408,-2.5435246000556155,-2.5435246000556155,-1.0812109001553656,-7.1321216271993588,14.271372640308307,10.738019418339514,0,90,0.280875811042339,-3.252477410926454,31.33033464151584
640,253.93776187461529,-183.82095504497389,313.48768782766433,-35.900099438628288,7.8088879947363123,-2.2368979560288835,-2.2368979560288835,-1.6470613449434601,-10.864709038641132,14.710530838030911,10.758600928772912,0,90,0.43646449814177246,-3.5154654111162262,28.872327569991185
660,182.04686172422626,-213.8418122346919,280.83692870321875,-49.591732213806075,8.8260879560080649,-1.9767184550965065,-1.9767184550965067,-2.3714030582843817,-15.642771485532,15.254574280755355,10.885243758691914,0,90,0.62125399231447365,-3.7480765297489675,26.138017860300742
